antecedent,consequent,support,confidence,lift
"Rain_High, Rain_Med",Aff_Low,0.03972958415034784,0.41042958833003956,1.9167059294025726
"Budget_Low, Rain_Low",Aff_Low,0.033877585916584574,0.40167358287006044,1.875815389197348
"Rain_Low, Var_Efficient",Aff_Low,0.04332236234523727,0.3690366559436858,1.7234009601797255
Rain_Low,Aff_Low,0.04332236234523727,0.365070807875492,1.704880452098558
"Rain_Low, Rain_Med",Aff_High,0.03191997011506015,0.7639445419568768,1.5248795104144641
"Budget_High, Budget_Med",Aff_High,0.026247035669548165,0.7563144372110706,1.5096493598600895
"Rain_High, Rain_Med",Aff_High,0.07299156640228754,0.7540451074616481,1.5051196404273095
"Rain_Med, Super_Typhoon",Aff_High,0.15002213551107152,0.675938344562582,1.3492138176505695
"Budget_Med, Rain_Med",Aff_High,0.03981396069366704,0.663012920498959,1.3234138894678908
"Rain_High, Super_Typhoon",Aff_High,0.1907353846607528,0.6387584365130627,1.275000472479493
Budget_High,Aff_High,0.03948600908916997,0.6231113490087282,1.2437679394583083
"Budget_Low, Rain_High",Aff_High,0.19116604119355396,0.6157100705450487,1.2289945400028621
Rain_Med,Aff_High,0.25975361061098273,0.607368658022163,1.2123445761043297
"Budget_Low, Rain_Med",Aff_High,0.20684658195781952,0.6066178048291373,1.2108458277181688
"Budget_High, Var_Efficient",Aff_High,0.036611446450743726,0.6065052829571919,1.210621227256251
"Rain_Med, Var_Efficient",Aff_High,0.24499216788304776,0.597156299757037,1.1919600913462967
"Rain_High, Var_Efficient",Aff_High,0.23638496021516,0.5958837915228558,1.189420087947403
Rain_High,Aff_High,0.2397215775937922,0.5928091743217233,1.1832829660558517
"Budget_High, Budget_Med",Deaths_None,0.03452863735986479,0.9949507160074981,1.1757906264402858
"Budget_Low, Super_Typhoon",Aff_High,0.2867571569876474,0.5788197275661563,1.1553591842261461
"Budget_Med, Rain_High",Deaths_None,0.06503588618014848,0.9601282427912935,1.1346389021002303
Rain_Low,Aff_High,0.06576789845512242,0.5542158488484283,1.1062483542210229
Budget_Med,Deaths_None,0.1314283991713709,0.9353306992942618,1.1053342152112615
"Super_Typhoon, Var_Efficient",Aff_High,0.31677812747891604,0.5536296013445852,1.1050781687461033
Super_Typhoon,Aff_High,0.3174254445403304,0.5523825137834181,1.1025889065480314
"Budget_Med, Var_Efficient",Deaths_None,0.12314151735474714,0.9312778162886756,1.1005446896886812
"Rain_Low, Var_Efficient",Aff_High,0.06449263008070336,0.5493731931867386,1.0965821206282182
"Budget_Med, Rain_Med",Deaths_None,0.055397400210631,0.9225204290600103,1.090195580280638
"Rain_Med, Super_Typhoon",Deaths_None,0.20315211267605635,0.9153202776966913,1.0816867462793789
"Budget_High, Rain_High",Deaths_None,0.027203569469417377,0.9114388054251537,1.0770997867041596
"Rain_High, Super_Typhoon",Deaths_None,0.27024144027343977,0.9050182281443243,1.069512220343659
"Budget_High, Rain_Med",Deaths_None,0.02855855620308451,0.902264306141381,1.0662577519313923
"Rain_High, Rain_Med",Deaths_None,0.08704788732394367,0.8992550343382609,1.0627015219376919
"Budget_Low, Super_Typhoon",Deaths_None,0.44315521229373245,0.8945094237366493,1.0570933602746688
Rain_Low,Deaths_None,0.10485148130160273,0.8835671213097257,1.0441622106023722
Budget_High,Deaths_None,0.05594228341025706,0.8828005789006068,1.0432563432413964
"Rain_Low, Var_Efficient",Deaths_None,0.10357621292718366,0.8823022841957552,1.0426674796587654
"Budget_Low, Rain_Low",Aff_High,0.043855459890419536,0.5199774194646921,1.0379063783724947
"Rain_High, Var_Efficient",Deaths_None,0.3481927139206494,0.8777309451617268,1.0372652647550367
"Budget_High, Var_Efficient",Deaths_None,0.05293777358861616,0.8769672455493814,1.0363627568909135
"Super_Typhoon, Var_Efficient",Deaths_None,0.500634934818452,0.8749540935434674,1.0339836990943108
Rain_High,Deaths_None,0.3533152925923744,0.8737158706331966,1.0325204196896964
Super_Typhoon,Deaths_None,0.5019718309859156,0.873529411764706,1.032300070494243
Var_Inefficient,Deaths_None,0.027141011241585744,0.8731316251982076,1.0318299831736475
"Budget_Med, Rain_High",Aff_High,0.03499038369707879,0.5165648934283913,1.0310947700086446
Rain_Med,Deaths_None,0.3726169014084508,0.8712711512748399,1.0296313538700672
"Rain_Med, Var_Efficient",Deaths_None,0.35614078599545107,0.8680755625589212,1.0258549424381394
"Budget_Low, Rain_Med",Deaths_None,0.29594749293098593,0.8679235441419609,1.0256752935099738
Budget_Low,Aff_High,0.39307695947499544,0.5134204669683916,1.0248183046142112
"Budget_Low, Rain_Low",Deaths_None,0.07269883178132347,0.8619622515008291,1.0186304902889292
"Budget_Low, Var_Efficient",Aff_High,0.38293133174171956,0.5102898282364434,1.018569360358874
"Budget_Low, Rain_High",Deaths_None,0.2670067270447973,0.8599787374280686,1.0162864573467523
Budget_Med,Aff_High,0.07109345547344154,0.5059476630809057,1.0099021360868679
Var_Efficient,Deaths_None,0.8212634315281994,0.8476111470461791,1.0016709627210174
