antecedent,consequent,support,confidence,lift
"Gust_High, Budget_Med",Outcome_High_Damage,0.02681859712216352,0.6407439368288446,2.2812208635303537
"Gust_Med, Budget_High",Outcome_High_Affected,0.04524348299669164,0.6099699221285148,2.1933992282589507
"Rain_Med, Budget_High",Outcome_High_Affected,0.050938695064217714,0.5353427642288326,1.9250464052654357
"Rain_High, Gust_Med",Outcome_High_Affected,0.056705996644475454,0.5296804176454644,1.9046850953458327
"Gust_Med, Super_Typhoon",Outcome_High_Affected,0.04434805445911976,0.5087201841833664,1.8293139036984407
"Gust_Low, Budget_High",Outcome_High_Affected,0.07108577717059184,0.49927549799792553,1.7953516268077954
"Budget_Med, Super_Typhoon",Outcome_High_Damage,0.029335544702685665,0.5018650960757609,1.7867748129023768
"Rain_Med, Gust_Low",Outcome_High_Affected,0.03828662315945336,0.4926287626285042,1.7714505397199987
"Rain_High, Budget_Med",Outcome_High_Damage,0.033758978639720945,0.4912602919243225,1.7490188559694957
"Rain_Med, Super_Typhoon",Outcome_High_Affected,0.042880659697183535,0.47928837975264543,1.7234796735460063
"Rain_High, Super_Typhoon",Outcome_High_Affected,0.03817183005295905,0.4790658522407227,1.72267948380679
"Rain_Med, Budget_Med",Outcome_High_Damage,0.030199469397311354,0.47388607898596885,1.687161981851343
"Rain_Med, Budget_Med",Outcome_High_Affected,0.029876985269192396,0.4688257007058423,1.6858567821308061
"Rain_High, Budget_High",Outcome_High_Affected,0.05795977389015252,0.46043327047463184,1.6556783268913762
"Rain_High, Gust_High",Outcome_High_Damage,0.05476385678953085,0.44911759549553976,1.598979514490022
"Rain_High, Gust_Low",Outcome_High_Affected,0.03403479889089585,0.44463117738586216,1.5988553631215643
"Gust_High, Super_Typhoon",Outcome_High_Affected,0.0432964448171543,0.437300892798788,1.5724962920052357
"Rain_Med, Gust_Med",Outcome_High_Affected,0.03893968660075175,0.43162625098794216,1.5520907695081234
"Gust_High, Super_Typhoon",Outcome_High_Damage,0.042685887391391716,0.4311341669043533,1.5349536686848182
