Budget_Low,Budget_Med,Budget_High,Rain_Low,Rain_Med,Rain_High,Deaths_None,Deaths_Any,Deaths_High,Var_Efficient,Var_Inefficient,Aff_Low,Aff_High,Super_Typhoon
1.0,0.0,0.0,0.0,0.3280000000000001,0.6719999999999999,0.0,1.0,0.0,1.0,0.0,0.3788511656670188,0.6211488343329812,0.0
1.0,0.0,0.0,0.0,0.3280000000000001,0.6719999999999999,1.0,0.0,0.0,1.0,0.0,0.4185027263181098,0.5814972736818902,0.0
1.0,0.0,0.0,0.0,0.3280000000000001,0.6719999999999999,1.0,0.0,0.0,1.0,0.0,0.25993019270997947,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.9315899581589958,1.0,0.0,0.0,1.0,0.0,0.9596055859737239,0.04039441402627612,1.0
1.0,0.0,0.0,0.0,0.0,0.9315899581589958,1.0,0.0,0.0,1.0,0.0,0.6194783822001576,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8828451882845189,1.0,0.0,0.0,1.0,0.0,0.0,0.7078301656991896,1.0
1.0,0.0,0.0,0.0,0.0,0.8828451882845189,1.0,0.0,0.0,1.0,0.0,0.0,0.4555983844731801,1.0
1.0,0.0,0.0,0.0,0.0,0.8828451882845189,1.0,0.0,0.0,1.0,0.0,0.7745846262430541,0.2254153737569459,1.0
1.0,0.0,0.0,0.4880000000000001,0.5119999999999999,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7078301656991896,1.0
1.0,0.0,0.0,0.4880000000000001,0.5119999999999999,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4555983844731801,1.0
1.0,0.0,0.0,0.4880000000000001,0.5119999999999999,0.0,1.0,0.0,0.0,1.0,0.0,0.7745846262430541,0.2254153737569459,1.0
1.0,0.0,0.0,0.896551724137931,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8814819528694867,0.0,0.0
1.0,0.0,0.0,0.896551724137931,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3056203730752654,0.6943796269247345,0.0
1.0,0.0,0.0,0.896551724137931,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9169542477409002,0.0,0.0
1.0,0.0,0.0,0.896551724137931,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9616794966241271,0.0
1.0,0.0,0.0,0.896551724137931,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8814819528694867,0.0,0.0
1.0,0.0,0.0,0.896551724137931,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3056203730752654,0.6943796269247345,0.0
1.0,0.0,0.0,0.896551724137931,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9169542477409002,0.0,0.0
1.0,0.0,0.0,0.896551724137931,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9616794966241271,0.0
1.0,0.0,0.0,0.896551724137931,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8814819528694867,0.0,0.0
1.0,0.0,0.0,0.896551724137931,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3056203730752654,0.6943796269247345,0.0
