Rain_Low,Rain_Med,Rain_High,Gust_Low,Gust_Med,Gust_High,Budget_Low,Budget_Med,Budget_High,Var_Efficient,Var_Inefficient,Super_Typhoon,Outcome_High_Deaths,Outcome_High_Damage,Outcome_High_Affected
0.0,0.5163727959697735,0.4836272040302266,0.0,0.781553398058252,0.21844660194174803,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.29668674698795183,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0027422995712600767
0.6894117647058824,0.3105882352941176,0.0,0.0,0.9344660194174754,0.06553398058252463,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,0.523929471032746,0.476070528967254,0.0,0.8834951456310676,0.11650485436893243,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.7950161051443241
0.0,0.0,0.9758530183727034,0.0,0.6796116504854364,0.32038834951456363,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8983373415292677,0.6328409121515846
0.9638554216867469,0.0,0.0,0.0,0.6796116504854364,0.32038834951456363,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7838411829109181,0.8510717048227348
0.0,0.8098236775818644,0.19017632241813565,0.0,0.0,0.7153846153846152,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.11658587125480079,0.3768300710511366
0.0,0.5163727959697735,0.4836272040302266,0.0,0.781553398058252,0.21844660194174803,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.29668674698795183,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.47258689012589244
0.9505882352941175,0.04941176470588254,0.0,0.4519774011299435,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.7964840355109669,0.5920446094865559,0.8032376412224226
0.6894117647058824,0.3105882352941176,0.0,0.0,0.9344660194174754,0.06553398058252463,1.0,0.0,0.0,1.0,0.0,1.0,0.43600765555520915,0.20406685962363524,0.43428010024974134
0.0,0.523929471032746,0.476070528967254,0.0,0.8834951456310676,0.11650485436893243,1.0,0.0,0.0,1.0,0.0,1.0,0.6395236200442421,0.45612420686494887,0.1287894639573039
0.0,0.0,0.9758530183727034,0.0,0.6796116504854364,0.32038834951456363,1.0,0.0,0.0,1.0,0.0,1.0,0.5734502236572735,0.3429094330867298,0.5551907377765312
0.9638554216867469,0.0,0.0,0.0,0.6796116504854364,0.32038834951456363,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8980871676892767,0.0
0.0,0.8098236775818644,0.19017632241813565,0.0,0.0,0.7153846153846152,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7458408716305234,0.36225911803609434
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8594655769014707,0.0
0.0,0.5163727959697735,0.4836272040302266,0.0,0.781553398058252,0.21844660194174803,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.3463855421686747,0.0,0.0,0.5617433414043583,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8769251706184725,0.0
0.9969879518072287,0.0,0.0,0.768361581920904,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.85039448532298,0.9830311594540717
0.18117647058823563,0.8188235294117644,0.0,0.0,0.0,0.9369230769230767,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.435294117647059,0.564705882352941,0.0,0.0,0.0,0.9461538461538459,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.872965879265092,0.0,0.47572815533980517,0.5242718446601948,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.8719879518072288,0.0,0.0,0.0,0.0,0.9369230769230767,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.646153846153846,1.0,0.0,0.0,1.0,0.0,0.0,0.8715957226770769,0.0,0.8627869745307662
0.0,0.0,0.5721784776902887,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.18117647058823563,0.8188235294117644,0.0,0.0,0.0,0.9369230769230767,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9249981170317338
0.0,0.0,0.872965879265092,0.0,0.47572815533980517,0.5242718446601948,1.0,0.0,0.0,1.0,0.0,1.0,0.6395236200442421,0.0,0.7859115089687712
0.0,1.0,0.0,0.0,0.0,0.646153846153846,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0.5823529411764707,0.41764705882352926,0.0,0.6389351081530781,0.3610648918469219,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.8810240963855422,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.8034638554216867,0.0,0.0,0.0,0.0,0.9369230769230767,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.18117647058823563,0.8188235294117644,0.0,0.0,0.0,0.9369230769230767,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
