Typhoon,Year,Location,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s),Date
Amang,2023,"Pili, Camarines Sur",212.6,0.0,2023-04-11
Amang,2023,"Legazpi City, Albay",140.0,13.0,2023-04-11
Amang,2023,"PCA Bago-Oshiro, Davao City",102.3,0.0,2023-04-11
Amang,2023,"Juban, Sorsogon",0.0,10.0,2023-04-11
Amang,2023,"Daet, Camarines Norte",0.0,10.0,2023-04-11
Amang,2023,"Guiuan, Eastern Samar",0.0,10.0,2023-04-11
Amang,2023,"Virac, Catanduanes",0.0,8.0,2023-04-11
Betty,2023,"La Trinidad, Benguet",220.5,0.0,2023-05-20
Betty,2023,"Baguio City, Benguet",184.2,0.0,2023-05-20
Betty,2023,"Maasin City, Southern Leyte",107.6,0.0,2023-05-20
Betty,2023,"Basco, Batanes",0.0,34.0,2023-05-20
Betty,2023,"Itbayat, Batanes",0.0,24.0,2023-05-20
Betty,2023,"Calayan, Cagayan",0.0,22.0,2023-05-20
Dodong,2023,"Iba, Zambales",222.9,0.0,2023-07-13
Dodong,2023,"Abucay, Bataan",132.3,0.0,2023-07-13
Dodong,2023,"Subic, Zambales",124.5,0.0,2023-07-13
Dodong,2023,"Basco, Batanes",0.0,18.0,2023-07-13
Dodong,2023,"Baguio City, Benguet",0.0,16.0,2023-07-13
Dodong,2023,"Calayan, Cagayan",0.0,13.0,2023-07-13
Egay,2023,"Laoag City, Ilocos Norte",414.0,0.0,2023-07-21
Egay,2023,"Sinait, Ilocos Sur",391.0,0.0,2023-07-21
Egay,2023,"Baguio City, Benguet",347.4,0.0,2023-07-21
Egay,2023,"Calayan, Cagayan",0.0,52.0,2023-07-21
Egay,2023,"Basco, Batanes",0.0,41.0,2023-07-21
Egay,2023,"Aparri, Cagayan",0.0,35.0,2023-07-21
Falcon,2023,"Subic, Zambales",278.5,0.0,2023-07-29
Falcon,2023,"Iba, Zambales",273.1,0.0,2023-07-29
Falcon,2023,"Abucay, Bataan",203.4,0.0,2023-07-29
Goring,2023,"Laoag City, Ilocos Norte",254.2,0.0,2023-08-24
Goring,2023,"Coron, Palawan",223.7,0.0,2023-08-24
Goring,2023,"Sinait, Ilocos Sur",215.6,0.0,2023-08-24
Goring,2023,"Basco, Batanes",0.0,45.0,2023-08-24
Goring,2023,"Calayan, Cagayan",0.0,34.0,2023-08-24
Goring,2023,"Itbayat, Batanes",0.0,26.0,2023-08-24
Hanna,2023,"Science Garden, Quezon City",152.5,0.0,2023-08-29
Hanna,2023,"Abucay, Bataan",139.0,0.0,2023-08-29
Hanna,2023,"Dagupan City, Pangasinan",130.7,0.0,2023-08-29
Hanna,2023,"Basco, Batanes",0.0,22.0,2023-08-29
Hanna,2023,"Calayan, Cagayan",0.0,17.0,2023-08-29
Hanna,2023,"Itbayat, Batanes",0.0,15.0,2023-08-29
Jenny,2023,"Itbayat, Batanes",273.0,24.0,2023-09-29
Jenny,2023,"Subic Bay International Airport, Subic Bay",150.2,0.0,2023-09-29
Jenny,2023,"Basco, Batanes",134.0,30.0,2023-09-29
Jenny,2023,"Calayan, Cagayan",0.0,24.0,2023-09-29
Kabayan,2023,"Surigao City, Surigao Del Norte",184.0,21.0,2023-12-17
Kabayan,2023,"Maasin City, Southern Leyte",98.8,0.0,2023-12-17
Kabayan,2023,"Casiguran, Aurora",97.0,0.0,2023-12-17
Kabayan,2023,"Guiuan, Eastern Samar",0.0,21.0,2023-12-17
Kabayan,2023,"Tacloban City, Leyte",0.0,16.0,2023-12-17
Kabayan,2023,"Mactan-Cebu International Airport, Lapu-Lapu City",0.0,15.0,2023-12-17
