Cyclone Name,Region,Year,Category,Deaths,Injuries,Affected,Houses destroyed,Houses damaged,Total Houses,Damage to Infrastructure (PhP),Damage to Agriculture + Fisheries (PhP)
Auring,Region V,2021,Tropical Storm,0,0,0,0,47,0,0.0,0.0
Auring,Region VII,2021,Tropical Storm,0,0,0,0,83,0,0.0,0.0
Auring,Region VIII,2021,Tropical Storm,0,0,0,0,5,0,0.0,0.0
Auring,Region X,2021,Tropical Storm,0,0,0,0,6661,0,0.0,0.0
Auring,Region XI,2021,Tropical Storm,0,0,0,0,1796,0,0.0,0.0
Bising,CARAGA,2021,Super Typhoon,0,0,257,1,5,6,0.0,0.0
Bising,Region II,2021,Super Typhoon,0,0,303,0,0,0,0.0,0.0
Bising,Region V,2021,Super Typhoon,0,0,138546,0,0,0,0.0,0.0
Bising,Region VIII,2021,Super Typhoon,6,20,311559,150,3306,3456,0.0,261131102.73
Crising,Region IX,2021,Tropical Storm,0,0,45075,4,11,15,0.0,0.0
Crising,Region XI,2021,Tropical Storm,0,4,14522,2,95,97,0.0,0.0
Dante,CALABARZON,2021,Tropical Storm,0,0,2628,0,0,0,0.0,0.0
Dante,CARAGA,2021,Tropical Storm,0,0,0,0,3,3,0.0,0.0
Dante,Region III,2021,Tropical Storm,0,0,150,0,0,0,0.0,0.0
Dante,Region IV-B,2021,Tropical Storm,0,0,745,0,0,0,0.0,0.0
Dante,Region V,2021,Tropical Storm,0,0,1780,31,264,295,0.0,0.0
Dante,Region VI,2021,Tropical Storm,0,0,15470,81,2552,2633,0.0,0.0
Dante,Region VII,2021,Tropical Storm,0,0,1415,0,0,0,0.0,0.0
Dante,Region VIII,2021,Tropical Storm,0,0,9434,33,239,272,0.0,0.0
Dante,Region XI,2021,Tropical Storm,0,0,361,3,3,6,0.0,0.0
Dante,Region XII,2021,Tropical Storm,0,0,0,0,0,0,0.0,0.0
Emong,Region IX,2021,Tropical Storm,0,0,0,0,0,0,0.0,0.0
Fabian,CALABARZON,2021,Typhoon,0,0,3494,40,97,137,41519091.21,0.0
Fabian,CAR,2021,Typhoon,0,0,685,5,52,57,0.0,1486111.5
Fabian,NCR,2021,Typhoon,0,0,25881,20,0,20,0.0,0.0
Fabian,Region I,2021,Typhoon,0,0,4201,0,35,35,150000.0,0.0
Fabian,Region III,2021,Typhoon,0,0,603,0,3,3,14538220.81,0.0
Fabian,Region IV-B,2021,Typhoon,0,0,78257,35,23,58,191675385.0,1278141403.82
Fabian,Region V,2021,Typhoon,0,0,0,0,0,0,0.0,5479886.41
Fabian,Region VI,2021,Typhoon,0,0,1202,38,118,156,3824600.0,2598114.7
Gorio,Region I,2021,Tropical Storm,0,0,0,0,0,0,0.0,0.0
Huaning,Region IV-B,2021,Tropical Depression,0,0,0,0,0,0,0.0,0.0
Isang,Region II,2021,Tropical Storm,0,0,0,0,0,0,0.0,0.0
Jolina,CALABARZON,2021,Typhoon,0,0,75016,313,4703,5016,0.0,0.0
Jolina,NCR,2021,Typhoon,0,0,247,0,0,0,0.0,0.0
Jolina,Region III,2021,Typhoon,0,0,7464,0,0,0,0.0,0.0
