Typhoon,Year,Location,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s),Date,Province,Region,Cumulative_Budget_To_Date,Cumulative_Variance_To_Date,Variance_Ratio_To_Date
Emong,2025,"Abucay, Bataan",234.3,20.5,2025-07-23,Bataan,Region III,3988567757.8999996,16893339.360000007,0.004235439983823776
Emong,2025,"Bacnotan, La Union",275.9,22.0,2025-07-23,La Union,Region I,11005023597.79,35824700.68000003,0.0032553043036812977
Emong,2025,"Cubi Point, Subic Bay",280.1,20.0,2025-07-23,Zambales,Region III,4639048547.5199995,22331383.84000001,0.004813785329308141
Emong,2025,Baguio City,302.0,25.0,2025-07-23,Benguet,CAR,3145936564.2599998,108959253.64,0.03463491758792976
Isang,2025,"Cubi Point, Subic Bay",72.0,10.0,2025-08-22,Zambales,Region III,4639048547.5199995,22331383.84000001,0.004813785329308141
Isang,2025,"Casiguran, Aurora",122.6,16.0,2025-08-22,Aurora,Region III,3089887328.21,7229854.320000021,0.002339843998191462
Isang,2025,"Baler, Aurora",122.6,12.0,2025-08-22,Aurora,Region III,3089887328.21,7229854.320000021,0.002339843998191462
Isang,2025,"San Jose, Occidental Mindoro",77.7,11.333333333333334,2025-08-22,Occidental Mindoro,Region IV-B,8651934577.320002,326752932.54,0.03776645900635255
Isang,2025,"Muñoz City, Nueva Ecija",122.6,5.0,2025-08-22,Nueva Ecija,Region III,9381476567.82,96118950.59999996,0.010245610049243603
Isang,2025,"Juban, Sorsogon",152.6,11.333333333333334,2025-08-22,Sorsogon,Region V,6451452594.98,1103472236.0700002,0.17104244661560922
Isang,2025,"Iba, Zambales",173.2,10.0,2025-08-22,Zambales,Region III,4639048547.5199995,22331383.84000001,0.004813785329308141
Isang,2025,"La Carlota City, Negros Occidental",127.0,11.333333333333334,2025-08-22,Negros Occidental,Region VI,11098163631.66,32536494.859999996,0.002931700769592399
Mirasol,2025,"Tanay, Rizal",75.6,8.0,2025-09-25,Rizal,Region IV-A,6445174050.540001,126928783.85000001,0.019693616162214492
Mirasol,2025,"Basco, Batanes",78.8,15.0,2025-09-25,Batanes,Region II,422128645.99,24981091.69,0.05917885916368677
Mirasol,2025,"Echague, Isabela",78.8,15.0,2025-09-25,Isabela,Region II,22770663527.89,38790823.83000006,0.0017035438507309294
Mirasol,2025,"Calayan, Cagayan",78.8,15.0,2025-09-25,Cagayan,Region II,7136266880.18,43955726.93,0.006159484737332482
Mirasol,2025,"La Trinidad, Benguet",96.5,13.857142857142858,2025-09-25,Benguet,CAR,3145936564.2599998,108959253.64,0.03463491758792976
Mirasol,2025,"Casiguran, Aurora",208.0,26.0,2025-09-25,Aurora,Region III,3089887328.21,7229854.320000021,0.002339843998191462
Mirasol,2025,"Infanta, Quezon",75.6,8.0,2025-09-25,Quezon,Region IV-A,6468881581.690001,39517972.32999994,0.006108934261813436
Mirasol,2025,"Baler, Aurora",93.4,10.0,2025-09-25,Aurora,Region III,3089887328.21,7229854.320000021,0.002339843998191462
Nando,2025,"La Trinidad, Benguet",370.9,31.0,2025-10-05,Benguet,CAR,3145936564.2599998,108959253.64,0.03463491758792976
Nando,2025,Baguio City,327.0,31.0,2025-10-05,Benguet,CAR,3145936564.2599998,108959253.64,0.03463491758792976
Nando,2025,"Sinait, Ilocos Sur",267.8,19.0,2025-10-05,Ilocos Sur,Region I,4660663298.219999,55845086.85000002,0.011982218683621359
Nando,2025,"Batac, Ilocos Norte",210.4,30.0,2025-10-05,Ilocos Norte,Region I,10049721838.35,31789580.500000045,0.0031632298894771573
Nando,2025,"Laoag City, Ilocos Norte",178.9,30.0,2025-10-05,Ilocos Norte,Region I,10049721838.35,31789580.500000045,0.0031632298894771573
Opong,2025,"Baybay City, Leyte",261.1,21.0,2025-10-15,Leyte,Region VIII,14157164150.43,311507658.8100002,0.022003535135992517
Opong,2025,"Catbalogan City, Samar",250.8,21.0,2025-10-15,Samar,Region VIII,2522320052.6400003,15613726.780000007,0.006190224259470091
Opong,2025,"Roxas City, Capiz",132.0,18.0,2025-10-15,Capiz,Region VI,1225507553.7,-208031.81000002555,-0.00016975155262972046
Opong,2025,"Romblon, Romblon",135.6,41.0,2025-10-15,Romblon,Region IV-B,6178936344.42,161654447.42000008,0.026162180415725603
Opong,2025,"Guiuan, Eastern Samar",250.8,21.0,2025-10-15,Eastern Samar,Region VIII,714865697.98,877712.0100000165,0.0012277998685349882
Opong,2025,"Coron, Palawan",135.6,41.0,2025-10-15,Palawan,Region IV-B,4498284017.52,78790266.02000004,0.017515627228766845
Opong,2025,"Maasin City, Southern Leyte",213.1,21.0,2025-10-15,Southern Leyte,Region VIII,2758442443.2,1001875.6300000139,0.00036320338402194937
Paolo,2025,"Iba, Zambales",277.5,16.0,2025-10-25,Zambales,Region III,4639048547.5199995,22331383.84000001,0.004813785329308141
Paolo,2025,"Cubi Pt., Subic Bay",174.5,17.0,2025-10-25,Zambales,Region III,4639048547.5199995,22331383.84000001,0.004813785329308141
Paolo,2025,Baguio City,134.4,20.0,2025-10-25,Benguet,CAR,3145936564.2599998,108959253.64,0.03463491758792976
Paolo,2025,"Abucay, Bataan",133.7,19.75,2025-10-25,Bataan,Region III,3988567757.8999996,16893339.360000007,0.004235439983823776
Paolo,2025,"Casiguran, Aurora",110.0,26.0,2025-10-25,Aurora,Region III,3089887328.21,7229854.320000021,0.002339843998191462
Paolo,2025,"Baler, Aurora",110.0,20.0,2025-10-25,Aurora,Region III,3089887328.21,7229854.320000021,0.002339843998191462
Ramil,2025,"Casiguran, Aurora",149.3,12.0,2025-11-15,Aurora,Region III,3089887328.21,7229854.320000021,0.002339843998191462
Ramil,2025,"Guiuan, Eastern Samar",400.7,12.65625,2025-11-15,Eastern Samar,Region VIII,714865697.98,877712.0100000165,0.0012277998685349882
Ramil,2025,"Roxas City, Capiz",365.5,12.65625,2025-11-15,Capiz,Region VI,1225507553.7,-208031.81000002555,-0.00016975155262972046
Ramil,2025,"Iba, Zambales",149.3,13.25,2025-11-15,Zambales,Region III,4639048547.5199995,22331383.84000001,0.004813785329308141
Ramil,2025,"Itbayat, Batanes",130.5,11.0,2025-11-15,Batanes,Region II,422128645.99,24981091.69,0.05917885916368677
Ramil,2025,"Infanta, Quezon",119.6,12.65625,2025-11-15,Quezon,Region IV-A,6468881581.690001,39517972.32999994,0.006108934261813436
Ramil,2025,"Baler, Aurora",149.3,18.0,2025-11-15,Aurora,Region III,3089887328.21,7229854.320000021,0.002339843998191462
Ramil,2025,"Clark International Airport, Pampanga",149.3,13.0,2025-11-15,Pampanga,Region III,14566653596.57,220313560.35000002,0.015124514281157693
Ramil,2025,"Aparri, Cagayan",130.5,11.0,2025-11-15,Cagayan,Region II,7136266880.18,43955726.93,0.006159484737332482
Ramil,2025,"Muñoz City, Nueva Ecija",149.3,10.0,2025-11-15,Nueva Ecija,Region III,9381476567.82,96118950.59999996,0.010245610049243603
Tino,2025,"Guiuan, Eastern Samar",235.2,32.0,2025-11-25,Eastern Samar,Region VIII,714865697.98,877712.0100000165,0.0012277998685349882
Tino,2025,"Cuyo, Palawan",159.0,26.8,2025-11-25,Palawan,Region IV-B,4498284017.52,78790266.02000004,0.017515627228766845
Tino,2025,"Surigao City, Surigao del Norte",162.4,24.0,2025-11-25,Surigao del Norte,Region XIII,5457200278.71,35815736.33999993,0.006563023988642438
Tino,2025,"Tacloban City, Leyte",235.2,26.0,2025-11-25,Leyte,Region VIII,14157164150.43,311507658.8100002,0.022003535135992517
Tino,2025,Lapu-Lapu City,183.0,25.0,2025-11-25,Cebu,Region VII,26705678103.98,57709442.66999987,0.0021609427944613516
Tino,2025,"Maasin City, Southern Leyte",235.2,27.0,2025-11-25,Southern Leyte,Region VIII,2758442443.2,1001875.6300000139,0.00036320338402194937
Tino,2025,"Juban, Sorsogon",177.0,26.8,2025-11-25,Sorsogon,Region V,6451452594.98,1103472236.0700002,0.17104244661560922
Uwan,2025,"Baler, Aurora",263.0,42.0,2025-12-05,Aurora,Region III,3089887328.21,7229854.320000021,0.002339843998191462
Uwan,2025,"Casiguran, Aurora",263.0,46.0,2025-12-05,Aurora,Region III,3089887328.21,7229854.320000021,0.002339843998191462
Uwan,2025,"Virac, Catanduanes",226.7,48.0,2025-12-05,Catanduanes,Region V,1826313169.61,41781082.22999999,0.022877282453656146
Uwan,2025,"Daet, Camarines Norte",226.7,47.0,2025-12-05,Camarines Norte,Region V,4359904004.47,62614781.99000001,0.014361504731710625
Uwan,2025,"Doña Remedios Trinidad, Bulacan (near Matulid River)",253.0,44.0,2025-12-05,Bulacan,Region III,43754961321.649994,98096228.56999962,0.002241945269906147
Uwan,2025,Baguio City,266.0,44.285714285714285,2025-12-05,Benguet,CAR,3145936564.2599998,108959253.64,0.03463491758792976
Uwan,2025,"Doña Remedios Trinidad, Bulacan (near Talaguio River)",273.0,44.0,2025-12-05,Bulacan,Region III,43754961321.649994,98096228.56999962,0.002241945269906147
Uwan,2025,"La Trinidad, Benguet",231.0,44.285714285714285,2025-12-05,Benguet,CAR,3145936564.2599998,108959253.64,0.03463491758792976
Verbena,2025,"Panglao, Bohol",114.6,12.0,2025-12-10,Bohol,Region VII,4635050049.160001,18145211.879999954,0.003914782297396846
Verbena,2025,"Casiguran, Aurora",160.5,15.0,2025-12-10,Aurora,Region III,3089887328.21,7229854.320000021,0.002339843998191462
Verbena,2025,Lapu-Lapu City,114.6,17.0,2025-12-10,Cebu,Region VII,26705678103.98,57709442.66999987,0.0021609427944613516
Verbena,2025,"Itbayat, Batanes",106.6,15.0,2025-12-10,Batanes,Region II,422128645.99,24981091.69,0.05917885916368677
Verbena,2025,"Infanta, Quezon",104.6,15.0,2025-12-10,Quezon,Region IV-A,6468881581.690001,39517972.32999994,0.006108934261813436
Verbena,2025,"Cuyo, Palawan",103.5,14.0,2025-12-10,Palawan,Region IV-B,4498284017.52,78790266.02000004,0.017515627228766845
Verbena,2025,"Romblon, Romblon",103.5,14.0,2025-12-10,Romblon,Region IV-B,6178936344.42,161654447.42000008,0.026162180415725603
