FundingYear,Region,Province,Municipality,ApprovedBudgetForContract,ContractCost,ActualCompletionDate,TypeOfWork,Final_Budget,Budget_Variance,Final_Budget_M
2021,Cordillera Administrative Region,Apayao,,96500000.0,92692943.8,2022-10-03,Construction of Flood Mitigation Structure,92692943.8,3807056.200000003,92.6929438
2021,Cordillera Administrative Region,Apayao,,49000000.0,47521251.3,2022-11-24,Construction of Flood Mitigation Structure,47521251.3,1478748.700000003,47.521251299999996
2021,Cordillera Administrative Region,Apayao,,47423180.0,45942583.67,2022-11-28,Construction of Flood Mitigation Structure,45942583.67,1480596.3299999982,45.942583670000005
2021,Cordillera Administrative Region,Apayao,,9900000.0,9900000.0,2022-12-15,Construction of Flood Mitigation Structure,9900000.0,0.0,9.9
2021,Cordillera Administrative Region,Apayao,,4950000.0,4950000.0,2022-09-23,Construction of Flood Mitigation Structure,4950000.0,0.0,4.95
2021,Cordillera Administrative Region,Apayao,,39199819.73,38292917.46,2022-09-24,Construction of Flood Mitigation Structure,38292917.46,906902.2699999958,38.29291746
2021,Cordillera Administrative Region,Apayao,,82914680.0,80309010.27,2023-04-14,Construction of Flood Mitigation Structure,80309010.27,2605669.730000004,80.30901027
2022,Cordillera Administrative Region,Apayao,CONNER (APAYAO),23519997.48,22928490.31,2022-11-02,Construction of Flood Mitigation Structure,22928490.31,591507.1700000018,22.928490309999997
2022,Cordillera Administrative Region,Apayao,CONNER (APAYAO),15678924.68,15680000.0,2022-12-22,Construction of Flood Mitigation Structure,15680000.0,-1075.320000000298,15.68
2022,Cordillera Administrative Region,Apayao,CONNER (APAYAO),51761907.66,51762600.0,2023-05-30,Construction of Flood Mitigation Structure,51762600.0,-692.3400000035763,51.7626
2023,Cordillera Administrative Region,Apayao,CONNER (APAYAO),72375000.0,72375000.0,2023-12-14,Construction of Revetment,72375000.0,0.0,72.375
2023,Cordillera Administrative Region,Apayao,CONNER (APAYAO),24500000.0,24500000.0,2023-06-22,Construction of Revetment,24500000.0,0.0,24.5
2023,Cordillera Administrative Region,Apayao,CONNER (APAYAO),115793907.83,115800000.0,2024-02-29,Construction of Flood Mitigation Structure,115800000.0,-6092.170000001788,115.8
2022,Cordillera Administrative Region,Apayao,CALANASAN (BAYAG) (APAYAO),49000000.0,49000000.0,2022-12-12,Construction of Flood Mitigation Structure,49000000.0,0.0,49.0
2022,Cordillera Administrative Region,Apayao,CALANASAN (BAYAG) (APAYAO),6930000.0,6827260.01,2023-09-15,Construction of Flood Mitigation Structure,6827260.01,102739.99000000022,6.82726001
2022,Cordillera Administrative Region,Apayao,CALANASAN (BAYAG) (APAYAO),49000000.0,47169843.01,2023-11-15,Construction of Flood Mitigation Structure,47169843.01,1830156.990000002,47.16984301
2023,Cordillera Administrative Region,Apayao,CALANASAN (BAYAG) (APAYAO),96500000.0,96500000.0,2024-02-07,Construction of Flood Mitigation Structure,96500000.0,0.0,96.5
2023,Cordillera Administrative Region,Apayao,CALANASAN (BAYAG) (APAYAO),96500000.0,96500000.0,2024-03-11,Construction of Flood Mitigation Structure,96500000.0,0.0,96.5
2023,Cordillera Administrative Region,Apayao,CALANASAN (BAYAG) (APAYAO),96500000.0,93386847.09,2024-03-15,Construction of Flood Mitigation Structure,93386847.09,3113152.9099999964,93.38684709
2022,Cordillera Administrative Region,Apayao,PUDTOL (APAYAO),82025000.0,79576285.45,2023-07-31,Construction of Flood Mitigation Structure,79576285.45,2448714.549999997,79.57628545
2023,Cordillera Administrative Region,Apayao,PUDTOL (APAYAO),96500000.0,96481880.32,2024-04-03,Construction of Flood Mitigation Structure,96481880.32,18119.680000007153,96.48188031999999
2022,Cordillera Administrative Region,Apayao,SANTA MARCELA (APAYAO),77200000.0,77189689.42,2023-03-20,Construction of Flood Mitigation Structure,77189689.42,10310.579999998212,77.18968942000001
2023,Cordillera Administrative Region,Apayao,SANTA MARCELA (APAYAO),96500000.0,96483381.66,2023-12-15,Construction of Flood Mitigation Structure,96483381.66,16618.340000003576,96.48338165999999
2023,Cordillera Administrative Region,Apayao,SANTA MARCELA (APAYAO),86850000.0,83452531.58,2023-12-15,Construction of Flood Mitigation Structure,83452531.58,3397468.420000002,83.45253158
2022,Cordillera Administrative Region,Apayao,LUNA (APAYAO),82025000.0,79564241.95,2023-10-09,Construction of Flood Mitigation Structure,79564241.95,2460758.049999997,79.56424195
2023,Cordillera Administrative Region,Apayao,LUNA (APAYAO),96500000.0,96500000.0,2024-07-10,Construction of Flood Mitigation Structure,96500000.0,0.0,96.5
2023,Cordillera Administrative Region,Apayao,LUNA (APAYAO),96500000.0,96493463.88,2024-03-20,Construction of Flood Mitigation Structure,96493463.88,6536.120000004768,96.49346388
2023,Cordillera Administrative Region,Apayao,LUNA (APAYAO),14700000.0,14243240.81,2024-02-27,Construction of Flood Mitigation Structure,14243240.81,456759.1899999995,14.24324081
2022,Cordillera Administrative Region,Apayao,KABUGAO (CAPITAL) (APAYAO),23871900.8,23872800.0,2022-11-28,Construction of Flood Mitigation Structure,23872800.0,-899.1999999992549,23.8728
2022,Cordillera Administrative Region,Apayao,KABUGAO (CAPITAL) (APAYAO),24499413.08,24500000.0,2023-03-28,Construction of Flood Mitigation Structure,24500000.0,-586.9200000017881,24.5
2022,Cordillera Administrative Region,Apayao,KABUGAO (CAPITAL) (APAYAO),24499866.44,24500000.0,2023-04-30,Construction of Flood Mitigation Structure,24500000.0,-133.5599999986589,24.5
2023,Cordillera Administrative Region,Apayao,KABUGAO (CAPITAL) (APAYAO),49000000.0,49000000.0,2023-09-08,Construction of Revetment,49000000.0,0.0,49.0
2023,Cordillera Administrative Region,Apayao,KABUGAO (CAPITAL) (APAYAO),49000000.0,49000000.0,2023-11-22,Construction of Revetment,49000000.0,0.0,49.0
2023,Cordillera Administrative Region,Apayao,KABUGAO (CAPITAL) (APAYAO),49000000.0,49000000.0,2023-12-07,Construction of Revetment,49000000.0,0.0,49.0
2021,Cordillera Administrative Region,Benguet,,81078319.98,80869305.14,2022-12-20,Construction of Flood Mitigation Structure,80869305.14,209014.84000000358,80.86930514
2021,Cordillera Administrative Region,Benguet,,96487461.5,96500000.0,2023-03-15,Construction of Flood Mitigation Structure,96500000.0,-12538.5,96.5
2021,Cordillera Administrative Region,Benguet,,96486192.7,96500000.0,2022-09-03,Construction of Flood Mitigation Structure,96500000.0,-13807.29999999702,96.5
2021,Cordillera Administrative Region,Benguet,,96496794.18,96500000.0,2022-12-03,Construction of Flood Mitigation Structure,96500000.0,-3205.8199999928474,96.5
2021,Cordillera Administrative Region,Benguet,,96495738.04,96372298.9,2022-12-08,Construction of Flood Mitigation Structure,96372298.9,123439.1400000006,96.3722989
2021,Cordillera Administrative Region,Benguet,,96493651.0,96500000.0,2022-09-03,Construction of Flood Mitigation Structure,96500000.0,-6349.0,96.5
2021,Cordillera Administrative Region,Benguet,,29400000.0,23831587.47,2022-12-14,Construction of Flood Mitigation Structure,23831587.47,5568412.530000001,23.83158747
2021,Cordillera Administrative Region,Benguet,,9800000.0,9750603.31,2022-07-02,Construction of Flood Mitigation Structure,9750603.31,49396.68999999948,9.75060331
2021,Cordillera Administrative Region,Benguet,,9800000.0,9505756.45,2022-12-08,Construction of Flood Mitigation Structure,9505756.45,294243.55000000075,9.50575645
2021,Cordillera Administrative Region,Benguet,,29400000.0,29377392.06,2022-07-18,Construction of Flood Mitigation Structure,29377392.06,22607.94000000134,29.37739206
2021,Cordillera Administrative Region,Benguet,,9800000.0,8704178.48,2022-09-02,Construction of Flood Mitigation Structure,8704178.48,1095821.5199999996,8.704178480000001
2021,Cordillera Administrative Region,Benguet,,19600000.0,19600000.0,2022-07-22,Construction of Flood Mitigation Structure,19600000.0,0.0,19.6
2021,Cordillera Administrative Region,Benguet,,29400000.0,29400000.0,2022-10-20,Construction of Flood Mitigation Structure,29400000.0,0.0,29.4
2021,Cordillera Administrative Region,Benguet,,29400000.0,29400000.0,2022-09-29,Construction of Flood Mitigation Structure,29400000.0,0.0,29.4
2021,Cordillera Administrative Region,Benguet,,11649260.0,11489414.45,2022-12-02,Construction of Flood Mitigation Structure,11489414.45,159845.55000000075,11.48941445
2022,Cordillera Administrative Region,Benguet,LA TRINIDAD (CAPITAL) (BENGUET),24500000.0,24487767.7,2022-11-25,Construction of Flood Mitigation Structure,24487767.7,12232.300000000745,24.4877677
2022,Cordillera Administrative Region,Benguet,LA TRINIDAD (CAPITAL) (BENGUET),24500000.0,24489189.7,2022-08-11,Construction of Flood Mitigation Structure,24489189.7,10810.300000000745,24.4891897
2022,Cordillera Administrative Region,Benguet,LA TRINIDAD (CAPITAL) (BENGUET),2940000.0,2930210.39,2022-11-08,Construction of Flood Mitigation Structure,2930210.39,9789.60999999987,2.93021039
2022,Cordillera Administrative Region,Benguet,LA TRINIDAD (CAPITAL) (BENGUET),2940000.0,2934796.4,2023-02-07,Rehabilitation / Major Repair of Drainage Structure,2934796.4,5203.600000000093,2.9347963999999997
2023,Cordillera Administrative Region,Benguet,LA TRINIDAD (CAPITAL) (BENGUET),77200000.0,77190000.0,2023-11-12,Construction of Flood Mitigation Structure,77190000.0,10000.0,77.19
2023,Cordillera Administrative Region,Benguet,LA TRINIDAD (CAPITAL) (BENGUET),96500000.0,96480000.0,2023-12-22,Construction of Flood Mitigation Structure,96480000.0,20000.0,96.48
2024,Cordillera Administrative Region,Benguet,LA TRINIDAD (CAPITAL) (BENGUET),86850000.0,86820000.0,2024-11-22,Construction of Flood Mitigation Structure,86820000.0,30000.0,86.82
2022,Cordillera Administrative Region,Benguet,KABAYAN (BENGUET),24500000.0,24447245.69,2022-07-29,Construction of Flood Mitigation Structure,24447245.69,52754.30999999866,24.447245690000003
2022,Cordillera Administrative Region,Benguet,KABAYAN (BENGUET),24500000.0,24445135.58,2022-11-14,Construction of Flood Mitigation Structure,24445135.58,54864.42000000179,24.44513558
2022,Cordillera Administrative Region,Benguet,KABAYAN (BENGUET),9800000.0,9679857.68,2022-11-21,Construction of Flood Mitigation Structure,9679857.68,120142.3200000003,9.67985768
2022,Cordillera Administrative Region,Benguet,KABAYAN (BENGUET),9800000.0,9793460.31,2023-01-24,Construction of Flood Mitigation Structure,9793460.31,6539.6899999994785,9.79346031
2022,Cordillera Administrative Region,Benguet,KABAYAN (BENGUET),2940000.0,2919512.6,2022-12-20,Construction of Flood Mitigation Structure,2919512.6,20487.399999999907,2.9195126
2022,Cordillera Administrative Region,Benguet,KABAYAN (BENGUET),2940000.0,2937836.0,2022-11-11,Construction of Flood Mitigation Structure,2937836.0,2164.0,2.937836
2024,Cordillera Administrative Region,Benguet,KABAYAN (BENGUET),39200000.0,39193427.02,2024-10-08,Construction of Flood Mitigation Structure,39193427.02,6572.979999996722,39.19342702
2024,Cordillera Administrative Region,Benguet,KABAYAN (BENGUET),29400000.0,29396000.0,2024-11-19,Construction of Flood Mitigation Structure,29396000.0,4000.0,29.396
2022,Cordillera Administrative Region,Benguet,ITOGON (BENGUET),24500000.0,24500000.0,2022-08-12,Construction of Flood Mitigation Structure,24500000.0,0.0,24.5
2022,Cordillera Administrative Region,Benguet,ITOGON (BENGUET),24500000.0,24500000.0,2022-11-12,Construction of Flood Mitigation Structure,24500000.0,0.0,24.5
2022,Cordillera Administrative Region,Benguet,ITOGON (BENGUET),24500000.0,24500000.0,2023-03-15,Construction of Flood Mitigation Structure,24500000.0,0.0,24.5
2022,Cordillera Administrative Region,Benguet,ITOGON (BENGUET),1960000.0,1957356.76,2022-09-14,Construction of Flood Mitigation Structure,1957356.76,2643.2399999999907,1.95735676
2022,Cordillera Administrative Region,Benguet,ITOGON (BENGUET),5390000.0,5289578.4,2022-11-04,Construction of Flood Mitigation Structure,5289578.4,100421.59999999963,5.289578400000001
2022,Cordillera Administrative Region,Benguet,ITOGON (BENGUET),2940000.0,2936230.11,2022-11-12,Construction of Slope Protection Structure,2936230.11,3769.8900000001304,2.93623011
2024,Cordillera Administrative Region,Benguet,ITOGON (BENGUET),59830000.0,59820000.0,2024-11-25,Construction of Flood Mitigation Structure,59820000.0,10000.0,59.82
2022,Cordillera Administrative Region,Benguet,TUBA (BENGUET),24500000.0,24113608.31,2022-08-05,Construction of Flood Mitigation Structure,24113608.31,386391.69000000134,24.11360831
2022,Cordillera Administrative Region,Benguet,TUBA (BENGUET),12740000.0,12523558.95,2022-10-18,Construction of Flood Mitigation Structure,12523558.95,216441.05000000075,12.52355895
2024,Cordillera Administrative Region,Benguet,TUBA (BENGUET),84920000.0,84877709.32,2025-03-02,Construction of Flood Mitigation Structure,84877709.32,42290.68000000715,84.87770932
2022,Cordillera Administrative Region,Benguet,BAGUIO CITY (BENGUET),49000000.0,49000000.0,2022-11-07,Construction of Drainage Structure,49000000.0,0.0,49.0
2022,Cordillera Administrative Region,Benguet,BAGUIO CITY (BENGUET),17640000.0,16673974.44,2022-10-13,Construction of Drainage Structure,16673974.44,966025.5600000005,16.67397444
2022,Cordillera Administrative Region,Benguet,BAGUIO CITY (BENGUET),49000000.0,49000000.0,2023-01-20,Construction of Revetment,49000000.0,0.0,49.0
2022,Cordillera Administrative Region,Benguet,BAGUIO CITY (BENGUET),49000000.0,49000000.0,2023-01-20,Construction of Revetment,49000000.0,0.0,49.0
2023,Cordillera Administrative Region,Benguet,BAGUIO CITY (BENGUET),82025000.0,82025000.0,2023-11-27,Construction of Flood Mitigation Structure,82025000.0,0.0,82.025
2023,Cordillera Administrative Region,Benguet,BAGUIO CITY (BENGUET),126200000.0,77200000.0,2023-11-27,Construction of Revetment,77200000.0,49000000.0,77.2
2023,Cordillera Administrative Region,Benguet,BAGUIO CITY (BENGUET),67550000.0,67550000.0,2023-11-27,Construction of Revetment,67550000.0,0.0,67.55
2023,Cordillera Administrative Region,Benguet,BAGUIO CITY (BENGUET),,49000000.0,2023-11-27,Construction of Revetment,49000000.0,,49.0
2024,Cordillera Administrative Region,Benguet,BAGUIO CITY (BENGUET),96500000.0,96500000.0,2024-07-29,Construction of Flood Mitigation Structure,96500000.0,0.0,96.5
2024,Cordillera Administrative Region,Benguet,BAGUIO CITY (BENGUET),145500000.0,96500000.0,2024-07-29,Construction of Flood Mitigation Structure,96500000.0,49000000.0,96.5
2024,Cordillera Administrative Region,Benguet,BAGUIO CITY (BENGUET),,49000000.0,2024-07-29,Construction of Flood Mitigation Structure,49000000.0,,49.0
2022,Cordillera Administrative Region,Benguet,BAKUN (BENGUET),24500000.0,24500000.0,2022-11-06,Construction of Flood Mitigation Structure,24500000.0,0.0,24.5
2022,Cordillera Administrative Region,Benguet,BAKUN (BENGUET),24500000.0,24500000.0,2022-10-13,Construction of Flood Mitigation Structure,24500000.0,0.0,24.5
2022,Cordillera Administrative Region,Benguet,BAKUN (BENGUET),19600000.0,19600000.0,2022-09-30,Construction of Flood Mitigation Structure,19600000.0,0.0,19.6
2022,Cordillera Administrative Region,Benguet,ATOK (BENGUET),24500000.0,24500000.0,2022-09-05,Construction of Flood Mitigation Structure,24500000.0,0.0,24.5
2022,Cordillera Administrative Region,Benguet,ATOK (BENGUET),51920860.0,51857438.1,2022-10-17,Construction of Flood Mitigation Structure,51857438.1,63421.89999999851,51.8574381
2022,Cordillera Administrative Region,Benguet,ATOK (BENGUET),2940000.0,2934995.04,2022-10-16,Construction of Flood Mitigation Structure,2934995.04,5004.959999999963,2.93499504
2021,Cordillera Administrative Region,Benguet,,51660310.0,51660310.0,2022-10-27,Construction of Flood Mitigation Structure,51660310.0,0.0,51.66031
2022,Cordillera Administrative Region,Benguet,BUGUIAS (BENGUET),24500000.0,24469548.92,2022-11-24,Construction of Flood Mitigation Structure,24469548.92,30451.079999998212,24.46954892
2022,Cordillera Administrative Region,Benguet,BUGUIAS (BENGUET),49000000.0,48990442.38,2023-05-27,Construction of Flood Mitigation Structure,48990442.38,9557.619999997318,48.990442380000005
2023,Cordillera Administrative Region,Benguet,BUGUIAS (BENGUET),72375000.0,72375000.0,2023-10-23,Construction of Flood Mitigation Structure,72375000.0,0.0,72.375
2023,Cordillera Administrative Region,Benguet,BUGUIAS (BENGUET),72375000.0,72324030.27,2023-12-22,Construction of Flood Mitigation Structure,72324030.27,50969.73000000417,72.32403027
2023,Cordillera Administrative Region,Benguet,BUGUIAS (BENGUET),96500000.0,96500000.0,2023-12-26,Construction of Flood Mitigation Structure,96500000.0,0.0,96.5
2024,Cordillera Administrative Region,Benguet,BUGUIAS (BENGUET),29400000.0,29352752.8,2024-07-25,Construction of Flood Mitigation Structure,29352752.8,47247.199999999255,29.3527528
2024,Cordillera Administrative Region,Benguet,BUGUIAS (BENGUET),49500000.0,49480290.0,2024-08-21,Construction of Flood Mitigation Structure,49480290.0,19710.0,49.48029
2024,Cordillera Administrative Region,Benguet,BUGUIAS (BENGUET),67550000.0,67462363.43,2024-07-25,Construction of Flood Mitigation Structure,67462363.43,87636.56999999285,67.46236343000001
2024,Cordillera Administrative Region,Benguet,BUGUIAS (BENGUET),62725000.0,62628581.73,2024-10-22,Construction of Flood Mitigation Structure,62628581.73,96418.27000000328,62.62858172999999
2024,Cordillera Administrative Region,Benguet,BUGUIAS (BENGUET),19600000.0,19550030.78,2024-11-20,Construction of Flood Mitigation Structure,19550030.78,49969.21999999881,19.55003078
2022,Cordillera Administrative Region,Benguet,KIBUNGAN (BENGUET),29400000.0,29400000.0,2022-11-18,Construction of Flood Mitigation Structure,29400000.0,0.0,29.4
2022,Cordillera Administrative Region,Benguet,BOKOD (BENGUET),24500000.0,23765066.81,2022-11-11,Construction of Flood Mitigation Structure,23765066.81,734933.1900000013,23.76506681
2022,Cordillera Administrative Region,Benguet,BOKOD (BENGUET),19600000.0,19510507.33,2022-11-29,Construction of Flood Mitigation Structure,19510507.33,89492.67000000179,19.51050733
2022,Cordillera Administrative Region,Benguet,BOKOD (BENGUET),9800000.0,9789790.48,2022-12-05,Construction of Flood Mitigation Structure,9789790.48,10209.519999999553,9.78979048
2024,Cordillera Administrative Region,Benguet,BOKOD (BENGUET),39200000.0,39197620.93,2024-10-28,Construction of Flood Mitigation Structure,39197620.93,2379.070000000298,39.19762093
2024,Cordillera Administrative Region,Benguet,BOKOD (BENGUET),69300000.0,69235331.85,2024-12-16,Construction of Flood Mitigation Structure,69235331.85,64668.15000000596,69.23533185
2022,Cordillera Administrative Region,Benguet,TUBLAY (BENGUET),9800000.0,9789992.93,2022-12-22,Construction of Flood Mitigation Structure,9789992.93,10007.070000000298,9.78999293
2022,Cordillera Administrative Region,Benguet,SABLAN (BENGUET),14700000.0,14688347.0,2023-12-01,Construction of Slope Protection Structure,14688347.0,11653.0,14.688347
2023,Cordillera Administrative Region,Benguet,BAGUIO CITY (BENGUET),19557230.5,19600000.0,2023-09-20,Construction of Slope Protection Structure,19600000.0,-42769.5,19.6
2024,Cordillera Administrative Region,Benguet,MANKAYAN (BENGUET),14700000.0,14691603.0,2024-06-19,Construction of Flood Mitigation Structure,14691603.0,8397.0,14.691603
2024,Cordillera Administrative Region,Benguet,KAPANGAN (BENGUET),14700000.0,14670528.86,2024-09-23,Construction of Flood Mitigation Structure,14670528.86,29471.140000000596,14.67052886
2021,Cordillera Administrative Region,Abra,,97999827.95,96497238.95,2022-09-24,Construction of Flood Mitigation Structure,96497238.95,1502589.0,96.49723895
2021,Cordillera Administrative Region,Abra,,98000000.0,96497003.85,2022-09-24,Construction of Flood Mitigation Structure,96497003.85,1502996.150000006,96.49700385
2021,Cordillera Administrative Region,Abra,,98000000.0,96497977.23,2022-09-26,Construction of Flood Mitigation Structure,96497977.23,1502022.7699999958,96.49797723
2021,Cordillera Administrative Region,Abra,,98000000.0,96498000.0,2022-09-24,Construction of Flood Mitigation Structure,96498000.0,1502000.0,96.498
2021,Cordillera Administrative Region,Abra,,97999911.98,96498000.0,2022-10-01,Construction of Flood Mitigation Structure,96498000.0,1501911.9800000042,96.498
2021,Cordillera Administrative Region,Abra,,97999983.85,96496961.02,2022-11-21,Construction of Flood Mitigation Structure,96496961.02,1503022.8299999982,96.49696102
2021,Cordillera Administrative Region,Abra,,48999808.84,48997500.0,2022-07-12,Construction of Flood Mitigation Structure,48997500.0,2308.8400000035763,48.9975
2021,Cordillera Administrative Region,Abra,,49000000.0,48997244.21,2022-09-07,Construction of Flood Mitigation Structure,48997244.21,2755.789999999106,48.99724421
2021,Cordillera Administrative Region,Abra,,48999985.61,48997000.0,2022-07-24,Construction of Flood Mitigation Structure,48997000.0,2985.609999999404,48.997
2021,Cordillera Administrative Region,Abra,,48999958.81,48998000.0,2022-07-21,Construction of Flood Mitigation Structure,48998000.0,1958.8100000023842,48.998
2021,Cordillera Administrative Region,Abra,,97999929.55,96500000.0,2022-10-08,Construction of Flood Mitigation Structure,96500000.0,1499929.549999997,96.5
2021,Cordillera Administrative Region,Abra,,97999951.72,96497024.03,2022-07-21,Construction of Flood Mitigation Structure,96497024.03,1502927.6899999976,96.49702403
2021,Cordillera Administrative Region,Abra,,97999990.0,96497036.15,2022-07-28,Construction of Flood Mitigation Structure,96497036.15,1502953.849999994,96.49703615
2021,Cordillera Administrative Region,Abra,,48999802.15,48997193.69,2022-10-05,Construction of Flood Mitigation Structure,48997193.69,2608.460000000894,48.997193689999996
2021,Cordillera Administrative Region,Abra,,29399855.69,29397900.0,2022-11-16,Construction of Flood Mitigation Structure,29397900.0,1955.690000001341,29.3979
2021,Cordillera Administrative Region,Abra,,29400000.0,29397162.42,2022-09-19,Construction of Flood Mitigation Structure,29397162.42,2837.579999998212,29.39716242
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),49000000.0,48997500.0,2022-07-21,Construction of Flood Mitigation Structure,48997500.0,2500.0,48.9975
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),48999972.12,48997900.0,2022-10-22,Construction of Flood Mitigation Structure,48997900.0,2072.119999997318,48.9979
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),48999965.06,49497900.0,2022-09-27,Construction of Flood Mitigation Structure,49497900.0,-497934.9399999976,49.4979
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),48999909.19,46352378.91,2022-12-08,Construction of Flood Mitigation Structure,46352378.91,2647530.280000001,46.35237891
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),49000000.0,49497515.89,2022-12-08,Construction of Flood Mitigation Structure,49497515.89,-497515.8900000006,49.49751589
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),48999959.12,49497500.0,2022-10-09,Construction of Flood Mitigation Structure,49497500.0,-497540.8800000027,49.4975
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),48999964.35,49497900.0,2022-10-19,Construction of Flood Mitigation Structure,49497900.0,-497935.6499999985,49.4979
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),48999950.92,49497500.0,2022-11-10,Construction of Flood Mitigation Structure,49497500.0,-497549.0799999982,49.4975
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),48999974.62,49497500.0,2022-10-11,Construction of Flood Mitigation Structure,49497500.0,-497525.3800000027,49.4975
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),96499903.01,96497818.75,2023-01-31,Construction of Flood Mitigation Structure,96497818.75,2084.2600000053644,96.49781875
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),48999905.92,49497500.0,2022-12-05,Construction of Flood Mitigation Structure,49497500.0,-497594.0799999982,49.4975
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),96500000.0,96497900.0,2023-01-24,Construction of Flood Mitigation Structure,96497900.0,2100.0,96.4979
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),48999983.87,48997900.0,2022-11-28,Construction of Flood Mitigation Structure,48997900.0,2083.869999997318,48.9979
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),96499992.73,96497000.0,2022-12-05,Construction of Flood Mitigation Structure,96497000.0,2992.7300000041723,96.497
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),48999712.6,48997500.0,2022-12-22,Construction of Flood Mitigation Structure,48997500.0,2212.60000000149,48.9975
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),96499940.76,96497500.0,2023-07-11,Construction of Flood Mitigation Structure,96497500.0,2440.7600000053644,96.4975
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),96499974.86,92109279.07,2023-10-01,Construction of Flood Mitigation Structure,92109279.07,4390695.790000007,92.10927907
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),48999930.33,48997500.0,2023-07-11,Construction of Flood Mitigation Structure,48997500.0,2430.329999998212,48.9975
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),48999918.22,48997500.0,2023-06-05,Construction of Flood Mitigation Structure,48997500.0,2418.219999998808,48.9975
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),96499892.57,95238758.44,2023-09-29,Construction of Flood Mitigation Structure,95238758.44,1261134.1299999952,95.23875844
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),96499977.01,94102968.15,2023-10-01,Construction of Flood Mitigation Structure,94102968.15,2397008.8599999994,94.10296815000001
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),91539341.71,91539920.25,2023-07-14,Construction of Flood Mitigation Structure,91539920.25,-578.5400000065565,91.53992025
2022,Cordillera Administrative Region,Abra,LA PAZ (ABRA),91406704.68,91407703.92,2023-11-17,Construction of Flood Mitigation Structure,91407703.92,-999.2399999946356,91.40770392
2023,Cordillera Administrative Region,Abra,LA PAZ (ABRA),144749968.21,144747500.0,2023-12-24,Construction of Flood Mitigation Structure,144747500.0,2468.2100000083447,144.7475
2023,Cordillera Administrative Region,Abra,LA PAZ (ABRA),144749894.36,144747500.0,2024-06-24,Construction of Flood Mitigation Structure,144747500.0,2394.360000014305,144.7475
2024,Cordillera Administrative Region,Abra,LA PAZ (ABRA),96500000.0,96497500.15,2024-09-16,Construction of Flood Mitigation Structure,96497500.15,2499.8499999940395,96.49750015000001
2024,Cordillera Administrative Region,Abra,LA PAZ (ABRA),144750000.0,148497500.75,2024-09-18,Construction of Flood Mitigation Structure,148497500.75,-3747500.75,148.49750075
2024,Cordillera Administrative Region,Abra,LA PAZ (ABRA),48250000.0,48997499.86,2024-09-18,Construction of Flood Mitigation Structure,48997499.86,-747499.8599999994,48.99749986
2022,Cordillera Administrative Region,Abra,LICUAN-BAAY (LICUAN) (ABRA),48999965.97,49497000.0,2022-07-12,Construction of Flood Mitigation Structure,49497000.0,-497034.0300000012,49.497
2022,Cordillera Administrative Region,Abra,LICUAN-BAAY (LICUAN) (ABRA),48999940.99,48996810.89,2022-09-15,Construction of Flood Mitigation Structure,48996810.89,3130.10000000149,48.99681089
2022,Cordillera Administrative Region,Abra,LICUAN-BAAY (LICUAN) (ABRA),48999929.5,48998000.0,2023-01-19,Construction of Flood Mitigation Structure,48998000.0,1929.5,48.998
2022,Cordillera Administrative Region,Abra,BUCAY (ABRA),30178018.22,30176120.0,2022-08-01,Construction of Flood Mitigation Structure,30176120.0,1898.219999998808,30.17612
2022,Cordillera Administrative Region,Abra,BUCAY (ABRA),29399906.75,29398000.0,2022-08-07,Construction of Flood Mitigation Structure,29398000.0,1906.75,29.398
2022,Cordillera Administrative Region,Abra,BUCAY (ABRA),41159987.8,41158000.0,2022-09-10,Construction of Flood Mitigation Structure,41158000.0,1987.7999999970198,41.158
2022,Cordillera Administrative Region,Abra,BUCAY (ABRA),96499807.0,96498000.0,2022-11-10,Construction of Flood Mitigation Structure,96498000.0,1807.0,96.498
2022,Cordillera Administrative Region,Abra,BUCAY (ABRA),49499923.64,49497477.49,2023-01-26,Construction of Flood Mitigation Structure,49497477.49,2446.14999999851,49.49747749
2022,Cordillera Administrative Region,Abra,BUCAY (ABRA),49499860.24,49496925.65,2023-01-26,Construction of Flood Mitigation Structure,49496925.65,2934.5900000035763,49.49692565
