region,confirmed_dead,confirmed_injured,confirmed_missing,for_validation_dead,for_validation_injured,for_validation_missing,total_reported_dead,total_reported_injured,total_reported_missing,typhoon,year
mimaropa,18,0,0,7,2,4,25,2,4,Odette,2021
region_6,54,170,7,0,3,0,54,173,7,Odette,2021
region_7,2,2,0,218,544,32,220,546,32,Odette,2021
region_8,18,112,4,8,0,0,26,112,4,Odette,2021
region_9,1,2,0,0,0,0,1,2,0,Odette,2021
region_10,8,28,0,0,0,0,8,28,0,Odette,2021
caraga,0,4,0,71,504,5,71,508,5,Odette,2021
ncr,0,0,0,0,0,0,0,0,0,Odette,2021
car,0,0,0,0,0,0,0,0,0,Odette,2021
region_1,0,0,0,0,0,0,0,0,0,Odette,2021
region_2,0,0,0,0,0,0,0,0,0,Odette,2021
region_3,0,0,0,0,0,0,0,0,0,Odette,2021
calabarzon,0,0,0,0,0,0,0,0,0,Odette,2021
region_5,0,0,0,0,0,0,0,0,0,Odette,2021
region_11,0,0,0,0,0,0,0,0,0,Odette,2021
region_12,0,0,0,0,0,0,0,0,0,Odette,2021
barmm,0,0,0,0,0,0,0,0,0,Odette,2021
region_1,26,0,10,0,0,0,26,0,10,Maring,2021
region_2,2,0,1,0,0,0,2,0,1,Maring,2021
region_3,0,2,0,0,0,0,0,2,0,Maring,2021
mimaropa,5,0,4,0,0,0,5,0,4,Maring,2021
car,0,0,0,9,3,1,9,3,1,Maring,2021
calabarzon,0,0,0,0,0,0,0,0,0,Maring,2021
ncr,0,0,0,0,0,0,0,0,0,Maring,2021
region_4_b,0,0,0,0,0,0,0,0,0,Maring,2021
region_5,0,0,0,0,0,0,0,0,0,Maring,2021
region_6,0,0,0,0,0,0,0,0,0,Maring,2021
region_7,0,0,0,0,0,0,0,0,0,Maring,2021
region_8,0,0,0,0,0,0,0,0,0,Maring,2021
region_9,0,0,0,0,0,0,0,0,0,Maring,2021
region_10,0,0,0,0,0,0,0,0,0,Maring,2021
region_11,0,0,0,0,0,0,0,0,0,Maring,2021
region_12,0,0,0,0,0,0,0,0,0,Maring,2021
caraga,0,0,0,0,0,0,0,0,0,Maring,2021
barmm,0,0,0,0,0,0,0,0,0,Maring,2021

