region,confirmed_dead,confirmed_injured,confirmed_missing,for_validation_dead,for_validation_injured,for_validation_missing,typhoon,year
region_6,0,0,0,0,0,0,0,0,0,Neneng,2022
region_7,0,0,0,0,0,0,0,0,0,Neneng,2022
region_8,0,0,0,0,0,0,0,0,0,Neneng,2022
region_9,0,0,0,0,0,0,0,0,0,Neneng,2022
region_10,0,0,0,0,0,0,0,0,0,Neneng,2022
region_11,0,0,0,0,0,0,0,0,0,Neneng,2022
region_12,0,0,0,0,0,0,0,0,0,Neneng,2022
car,0,0,0,0,0,0,0,0,0,Neneng,2022
ncr,0,0,0,0,0,0,0,0,0,Neneng,2022
caraga,0,0,0,0,0,0,0,0,0,Neneng,2022
barmm,0,0,0,0,0,0,0,0,0,Neneng,2022 
