region,confirmed_dead,confirmed_injured,confirmed_missing,for_validation_dead,for_validation_injured,for_validation_missing,total_reported_dead,total_reported_injured,total_reported_missing,typhoon,year
car,0,0,0,0,6,0,0,6,0,Luis,2018
region_1,0,0,0,0,0,0,0,0,0,Luis,2018
region_2,0,0,0,0,0,0,0,0,0,Luis,2018
region_3,0,0,0,0,0,0,0,0,0,Luis,2018
ncr,0,0,0,0,0,0,0,0,0,Luis,2018
calabarzon,0,0,0,0,0,0,0,0,0,Luis,2018
mimaropa,0,0,0,0,0,0,0,0,0,Luis,2018
region_5,0,0,0,0,0,0,0,0,0,Luis,2018
region_6,0,0,0,0,0,0,0,0,0,Luis,2018
region_7,0,0,0,0,0,0,0,0,0,Luis,2018
region_8,0,0,0,0,0,0,0,0,0,Luis,2018
region_9,0,0,0,0,0,0,0,0,0,Luis,2018
region_10,0,0,0,0,0,0,0,0,0,Luis,2018
region_11,0,0,0,0,0,0,0,0,0,Luis,2018
region_12,0,0,0,0,0,0,0,0,0,Luis,2018
caraga,0,0,0,0,0,0,0,0,0,Luis,2018
barmm,0,0,0,0,0,0,0,0,0,Luis,2018
