region,confirmed_dead,confirmed_injured,confirmed_missing,for_validation_dead,for_validation_injured,for_validation_missing,total_reported_dead,total_reported_injured,total_reported_missing,typhoon,year
region_2,4,1,0,0,0,0,4,1,0,Quiel,2019
car,2,3,0,0,0,0,2,3,0,Quiel,2019
mimaropa,0,0,0,0,0,13,0,0,13,Quiel,2019
ncr,0,0,0,0,0,0,0,0,0,Quiel,2019
region_1,0,0,0,0,0,0,0,0,0,Quiel,2019
region_3,0,0,0,0,0,0,0,0,0,Quiel,2019
calabarzon,0,0,0,0,0,0,0,0,0,Quiel,2019
region_5,0,0,0,0,0,0,0,0,0,Quiel,2019
region_6,0,0,0,0,0,0,0,0,0,Quiel,2019
region_7,0,0,0,0,0,0,0,0,0,Quiel,2019
region_8,0,0,0,0,0,0,0,0,0,Quiel,2019
region_9,0,0,0,0,0,0,0,0,0,Quiel,2019
region_10,0,0,0,0,0,0,0,0,0,Quiel,2019
region_11,0,0,0,0,0,0,0,0,0,Quiel,2019
region_12,0,0,0,0,0,0,0,0,0,Quiel,2019
caraga,0,0,0,0,0,0,0,0,0,Quiel,2019
barmm,0,0,0,0,0,0,0,0,0,Quiel,2019
