Typhoon,Year,Location,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s),Province,Region
Amang,2023,"PCA Bago-Oshiro, Davao City",102.3,10.208333333333334,Davao del Sur,Region XI
Amang,2023,"Juban, Sorsogon",176.3,10.0,Sorsogon,Region V
Amang,2023,"Daet, Camarines Norte",176.3,10.0,Camarines Norte,Region V
Amang,2023,"Guiuan, Eastern Samar",163.96666666666667,10.0,Eastern Samar,Region VIII
Amang,2023,"Virac, Catanduanes",176.3,8.0,Catanduanes,Region V
Betty,2023,"La Trinidad, Benguet",220.5,26.666666666666668,Benguet,CAR
Betty,2023,"Baguio City, Benguet",184.2,26.666666666666668,Benguet,CAR
Betty,2023,"Maasin City, Southern Leyte",107.6,26.666666666666668,Southern Leyte,Region VIII
Betty,2023,"Basco, Batanes",170.76666666666665,34.0,Batanes,Region II
Betty,2023,"Itbayat, Batanes",170.76666666666665,24.0,Batanes,Region II
Betty,2023,"Calayan, Cagayan",170.76666666666665,22.0,Cagayan,Region II
Dodong,2023,"Iba, Zambales",222.9,15.666666666666666,Zambales,Region III
Dodong,2023,"Abucay, Bataan",132.3,15.666666666666666,Bataan,Region III
Dodong,2023,"Subic, Zambales",124.5,15.666666666666666,Zambales,Region III
Dodong,2023,"Basco, Batanes",159.9,18.0,Batanes,Region II
Dodong,2023,"Baguio City, Benguet",159.9,16.0,Benguet,CAR
Dodong,2023,"Calayan, Cagayan",159.9,13.0,Cagayan,Region II
Egay,2023,"Laoag City, Ilocos Norte",414.0,42.666666666666664,Ilocos Norte,Region I
Egay,2023,"Sinait, Ilocos Sur",391.0,42.666666666666664,Ilocos Sur,Region I
Egay,2023,"Baguio City, Benguet",347.4,42.666666666666664,Benguet,CAR
Egay,2023,"Calayan, Cagayan",384.1333333333334,52.0,Cagayan,Region II
Egay,2023,"Basco, Batanes",384.1333333333334,41.0,Batanes,Region II
Egay,2023,"Aparri, Cagayan",384.1333333333334,35.0,Cagayan,Region II
Falcon,2023,"Subic, Zambales",278.5,18.0,Zambales,Region III
Falcon,2023,"Iba, Zambales",273.1,18.0,Zambales,Region III
Falcon,2023,"Abucay, Bataan",203.4,18.0,Bataan,Region III
Goring,2023,"Laoag City, Ilocos Norte",254.2,35.0,Ilocos Norte,Region I
Goring,2023,"Coron, Palawan",223.7,35.0,Palawan,Region IV-B
Goring,2023,"Sinait, Ilocos Sur",215.6,35.0,Ilocos Sur,Region I
Goring,2023,"Basco, Batanes",231.16666666666666,45.0,Batanes,Region II
Goring,2023,"Calayan, Cagayan",231.16666666666666,34.0,Cagayan,Region II
