Typhoon,Year,Location,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s),Province,Region
Tino,2025,"Cuyo, Palawan",159.0,26.8,Palawan,Region IV-B
Tino,2025,"Guiuan, Eastern Samar",235.2,32.0,Eastern Samar,Region VIII
Tino,2025,"Tacloban City, Leyte",235.2,26.0,Leyte,Region VIII
Uwan,2025,"Doña Remedios Trinidad, Bulacan (near Talaguio River)",273.0,44.0,Bulacan,Region III
Uwan,2025,Baguio City,266.0,44.285714285714285,Benguet,CAR
Uwan,2025,"Doña Remedios Trinidad, Bulacan (near Matulid River)",253.0,44.0,Bulacan,Region III
Uwan,2025,"La Trinidad, Benguet",231.0,44.285714285714285,Benguet,CAR
Uwan,2025,"Virac, Catanduanes",226.7,48.0,Catanduanes,Region V
Uwan,2025,"Daet, Camarines Norte",226.7,47.0,Camarines Norte,Region V
Uwan,2025,"Casiguran, Aurora",263.0,46.0,Aurora,Region III
Uwan,2025,"Baler, Aurora",263.0,42.0,Aurora,Region III
Uwan,2025,"Bayombong, Nueva Vizcaya",250.3,39.0,Nueva Vizcaya,Region II
Verbena,2025,"Casiguran, Aurora",160.5,15.0,Aurora,Region III
Verbena,2025,Lapu-Lapu City,114.6,17.0,Cebu,Region VII
Verbena,2025,"Itbayat, Batanes",106.6,15.0,Batanes,Region II
Verbena,2025,"Infanta, Quezon",104.6,15.0,Quezon,Region IV-A
Verbena,2025,"Cuyo, Palawan",103.5,14.0,Palawan,Region IV-B
Verbena,2025,"Surigao City, Surigao del Norte",115.41428571428571,18.0,Surigao del Norte,Region XIII
Verbena,2025,"Borongan City, Eastern Samar",115.41428571428571,16.0,Eastern Samar,Region VIII
Verbena,2025,"Roxas City, Capiz",115.41428571428571,14.0,Capiz,Region VI
Verbena,2025,"Romblon, Romblon",103.5,14.0,Romblon,Region IV-B
Verbena,2025,"Panglao, Bohol",114.6,12.0,Bohol,Region VII
Agaton,2022,"Baybay City, Leyte",536.2,19.5,Leyte,Region VIII
Agaton,2022,"Mambusao, Capiz",338.0,19.75,Capiz,Region VI
Agaton,2022,"Guiuan, Eastern Samar",207.8,30.0,Eastern Samar,Region VIII
Agaton,2022,"Roxas City, Capiz",172.0,19.75,Capiz,Region VI
Agaton,2022,"Borongan City, Eastern Samar",163.0,15.0,Eastern Samar,Region VIII
Agaton,2022,"Surigao City, Surigao del Norte",288.8095238095238,21.0,Surigao del Norte,Region XIII
Agaton,2022,"Maasin City, Southern Leyte",302.3333333333333,18.0,Southern Leyte,Region VIII
Agaton,2022,"Tacloban City, Leyte",302.3333333333333,15.0,Leyte,Region VIII
Florita,2022,"Batac City, Ilocos Norte",201.8,20.5,Ilocos Norte,Region I
Florita,2022,Baguio City,169.8,20.5,Benguet,CAR
Florita,2022,"Laoag City, Ilocos Norte",162.5,20.5,Ilocos Norte,Region I
Florita,2022,"Sinait, Ilocos Sur",147.4,20.5,Ilocos Sur,Region I
Florita,2022,"Tuguegarao City, Cagayan",146.0,18.0,Cagayan,Region II
Florita,2022,"Basco, Batanes",146.0,27.0,Batanes,Region II
Florita,2022,"Calayan, Cagayan",146.0,20.0,Cagayan,Region II
Florita,2022,"Aparri, Cagayan",146.0,20.0,Cagayan,Region II
Florita,2022,"Baler, Aurora",156.83333333333334,20.0,Aurora,Region III
Florita,2022,"Itbayat, Batanes",146.0,18.0,Batanes,Region II
Henry,2022,"Sinait, Ilocos Sur",205.2,22.0,Ilocos Sur,Region I
Henry,2022,"Iba, Zambales",181.2,22.0,Zambales,Region III
Henry,2022,"Cubi Pt., Subic Bay",141.8,22.0,Zambales,Region III
Henry,2022,Baguio City,120.0,22.0,Benguet,CAR
Henry,2022,"La Trinidad, Benguet",114.0,22.0,Benguet,CAR
Henry,2022,"Basco, Batanes",152.44,28.0,Batanes,Region II
Henry,2022,"Calayan, Cagayan",152.44,22.0,Cagayan,Region II
Henry,2022,"Itbayat, Batanes",152.44,16.0,Batanes,Region II
Karding,2022,"Cubi Pt., Subic Bay",255.8,21.0,Zambales,Region III
Karding,2022,"Tanay, Rizal",179.3,21.0,Rizal,Region IV-A
Karding,2022,"Iba, Zambales",136.2,23.0,Zambales,Region III
Karding,2022,"Clark International Airport, Pampanga",125.2,23.0,Pampanga,Region III
Karding,2022,"Ambulong, Tanauan City, Batangas",123.2,21.0,Batangas,Region IV-A
Karding,2022,"Baler, Aurora",172.4,25.0,Aurora,Region III
Karding,2022,"Ninoy Aquino International Airport, Pasay City",165.35,21.0,Metro Manila,NCR
Karding,2022,"Port Area, Manila",165.35,21.0,Metro Manila,NCR
Neneng,2022,"Aparri, Cagayan",323.8,18.0,Cagayan,Region II
Neneng,2022,"Calayan, Cagayan",228.8,32.0,Cagayan,Region II
Neneng,2022,"Sinait, Ilocos Sur",174.6,19.0,Ilocos Sur,Region I
Neneng,2022,"Itbayat, Batanes",143.9,21.0,Batanes,Region II
Neneng,2022,Baguio City,124.6,24.833333333333332,Benguet,CAR
Neneng,2022,"Basco, Batanes",232.16666666666666,40.0,Batanes,Region II
Neneng,2022,"Laoag City, Ilocos Norte",174.6,19.0,Ilocos Norte,Region I
Paeng,2022,"Indang, Cavite",346.6,23.0,Cavite,Region IV-A
Paeng,2022,"Baybay City, Leyte",271.1,23.25,Leyte,Region VIII
Paeng,2022,"Tayabas City, Quezon",257.7,23.0,Quezon,Region IV-A
Paeng,2022,"Los Baños, Laguna",253.0,23.0,Laguna,Region IV-A
Paeng,2022,"Roxas City, Capiz",241.0,23.25,Capiz,Region VI
Paeng,2022,"Clark International Airport, Pampanga",278.3375,25.0,Pampanga,Region III
Paeng,2022,"Ambulong, Tanauan City, Batangas",285.76666666666665,24.0,Batangas,Region IV-A
Paeng,2022,"Tanay, Rizal",285.76666666666665,23.0,Rizal,Region IV-A
Paeng,2022,"Daet, Camarines Norte",278.3375,23.0,Camarines Norte,Region V
Paeng,2022,"Sangley Pt., Cavite City, Cavite",285.76666666666665,22.0,Cavite,Region IV-A
Ambo,2020,"Catarman (Synoptic), Northern Samar",306.0,35.0,Northern Samar,Region VIII
Ambo,2020,"Casiguran, Aurora",282.7,25.125,Aurora,Region III
Ambo,2020,"Juban, Sorsogon",260.8,22.0,Sorsogon,Region V
Ambo,2020,"Alabat, Quezon",255.6,22.0,Quezon,Region IV-A
Ambo,2020,"Catarman (Agromet), Northern Samar",125.6,35.0,Northern Samar,Region VIII
Ambo,2020,"Infanta, Quezon",255.6,26.0,Quezon,Region IV-A
Ambo,2020,"Masbate City, Masbate",260.8,21.0,Masbate,Region V
Ambo,2020,"Tayabas, Quezon",255.6,20.0,Quezon,Region IV-A
Ambo,2020,"Sangley Pt., Cavite City, Cavite",255.6,20.0,Cavite,Region IV-A
Carina,2020,"Batac, Ilocos Norte",186.8,10.0,Ilocos Norte,Region I
Carina,2020,"Laoag City, Ilocos Norte",183.8,10.0,Ilocos Norte,Region I
Carina,2020,"Aparri, Cagayan",145.4,10.0,Cagayan,Region II
Carina,2020,"PCA Bago-Oshiro, Davao City",95.8,15.861111111111112,Davao del Sur,Region XI
Carina,2020,"Sangley Pt., Cavite City, Cavite",88.4,15.861111111111112,Cavite,Region IV-A
Carina,2020,"Baler, Aurora",282.7,18.0,Aurora,Region III
Carina,2020,"Itbayat, Batanes",244.10000000000002,14.0,Batanes,Region II
Carina,2020,"Iba, Zambales",282.7,13.0,Zambales,Region III
Carina,2020,"Subic Bay International Airport, Morong, Bataan",282.7,12.0,Bataan,Region III
Enteng,2020,"Subic Bay International Airport, Morong, Bataan",173.0,20.5,Bataan,Region III
Enteng,2020,"Cuyo, Palawan",115.4,17.15625,Palawan,Region IV-B
Enteng,2020,"San Jose, Occidental Mindoro",100.7,17.15625,Occidental Mindoro,Region IV-B
Enteng,2020,"Science Garden, Quezon City",89.2,16.0,Metro Manila,NCR
Enteng,2020,"Malaybalay, Bukidnon",85.4,17.15625,Bukidnon,Region X
Ferdie,2020,"Subic Bay International Airport, Morong, Bataan",173.0,22.81852984927822,Bataan,Region III
Ferdie,2020,"Clark International Airport, Mabalacat, Pampanga",70.4,22.81852984927822,Pampanga,Region III
Ferdie,2020,"Iba, Zambales",65.0,22.81852984927822,Zambales,Region III
Ferdie,2020,"Science Garden, Quezon City",50.8,22.81852984927822,Metro Manila,NCR
Ferdie,2020,"Tarlac City, Tarlac",42.2,22.81852984927822,Tarlac,Region III
Nika,2020,"Iba, Zambales",305.4,22.81852984927822,Zambales,Region III
Nika,2020,"Subic Bay International Airport, Mabalacat, Pampanga",165.5,22.81852984927822,Pampanga,Region III
Nika,2020,"Casiguran, Aurora",107.2,22.81852984927822,Aurora,Region III
Nika,2020,"Camiling, Tarlac",75.2,22.81852984927822,Tarlac,Region III
Nika,2020,"Mactan-Cebu International Airport, Lapu-Lapu City",49.8,22.81852984927822,Cebu,Region VII
Pepito,2020,"Cuyo, Palawan",150.2,27.344444444444445,Palawan,Region IV-B
Pepito,2020,"Pili, Camarines Sur",101.6,32.0,Camarines Sur,Region V
Pepito,2020,"Alabat, Quezon",99.9,27.344444444444445,Quezon,Region IV-A
Pepito,2020,"Baler, Aurora",94.0,20.0,Aurora,Region III
Pepito,2020,"Roxas City, Capiz",89.0,27.344444444444445,Capiz,Region VI
Pepito,2020,"Subic Bay International Airport, Morong, Bataan",174.46666666666667,23.0,Bataan,Region III
Pepito,2020,"Iba, Zambales",174.46666666666667,22.0,Zambales,Region III
Pepito,2020,"Ninoy Aquino International Airport, Pasay City",165.01354166666667,20.0,Metro Manila,NCR
Pepito,2020,Baguio City,196.25,19.0,Benguet,CAR
Pepito,2020,"Casiguran, Aurora",174.46666666666667,18.0,Aurora,Region III
Quinta,2020,"Legazpi City, Albay",282.7,36.0,Albay,Region V
Quinta,2020,"Juban, Sorsogon",197.8,32.0,Sorsogon,Region V
Quinta,2020,"San Jose, Occidental Mindoro",175.4,30.0,Occidental Mindoro,Region IV-B
Quinta,2020,"Infanta, Quezon",163.4,24.0,Quezon,Region IV-A
Quinta,2020,"Calapan City, Oriental Mindoro",151.6,36.0,Oriental Mindoro,Region IV-B
Quinta,2020,"Virac, Catanduanes",240.25,28.0,Catanduanes,Region V
Quinta,2020,"Romblon, Romblon",163.5,27.0,Romblon,Region IV-B
Quinta,2020,"Tayabas, Quezon",163.4,24.0,Quezon,Region IV-A
Rolly,2020,"Virac, Catanduanes",238.0,38.0,Catanduanes,Region V
Rolly,2020,"Guinobatan, Albay",191.2,42.666666666666664,Albay,Region V
Rolly,2020,"Legazpi City, Albay",166.7,55.0,Albay,Region V
Rolly,2020,"Juban, Sorsogon",149.4,42.666666666666664,Sorsogon,Region V
Rolly,2020,"Indang, Cavite",148.0,27.5,Cavite,Region IV-A
Rolly,2020,"Daet, Camarines Norte",186.325,35.0,Camarines Norte,Region V
Rolly,2020,"Tanay, Rizal",148.0,28.0,Rizal,Region IV-A
Rolly,2020,"Sangley Pt., Cavite City, Cavite",148.0,27.0,Cavite,Region IV-A
Tonyo,2020,"Catarman (Synoptic), Northern Samar",155.4,14.0,Northern Samar,Region VIII
Tonyo,2020,"Aparri, Cagayan",128.7,13.115384615384615,Cagayan,Region II
Tonyo,2020,"Catarman (Agromet), Northern Samar",127.6,12.0,Northern Samar,Region VIII
Tonyo,2020,"Casiguran, Aurora",123.0,15.0,Aurora,Region III
Tonyo,2020,"Juban, Sorsogon",101.4,14.5,Sorsogon,Region V
Tonyo,2020,"Legazpi City, Albay",101.4,18.0,Albay,Region V
Tonyo,2020,"Subic Bay International Airport, Morong, Bataan",123.0,15.0,Bataan,Region III
Tonyo,2020,"Calapan City, Oriental Mindoro",122.60000000000001,15.0,Oriental Mindoro,Region IV-B
Tonyo,2020,"Tanay, Rizal",122.60000000000001,14.0,Rizal,Region IV-A
Tonyo,2020,"Sangley Pt. Cavite City, Cavite",122.60000000000001,11.0,Cavite,Region IV-A
Tonyo,2020,"San Jose, Occidental Mindoro",122.60000000000001,11.0,Occidental Mindoro,Region IV-B
Tonyo,2020,"Masbate City, Masbate",101.4,11.0,Masbate,Region V
Tonyo,2020,"Romblon, Romblon",122.60000000000001,10.0,Romblon,Region IV-B
Tonyo,2020,"Guiuan, Eastern Samar",141.5,10.0,Eastern Samar,Region VIII
Ulysses,2020,"Tanay, Rizal",356.2,28.0,Rizal,Region IV-A
Ulysses,2020,"Daet, Camarines Norte",270.6,42.0,Camarines Norte,Region V
Ulysses,2020,"Infanta, Quezon",255.1,36.0,Quezon,Region IV-A
Ulysses,2020,"Casiguran, Aurora",238.0,34.0,Aurora,Region III
Ulysses,2020,"Aparri, Cagayan",209.0,33.5,Cagayan,Region II
Ulysses,2020,"Baler, Aurora",238.0,34.0,Aurora,Region III
Ulysses,2020,"Virac, Catanduanes",270.6,27.0,Catanduanes,Region V
Vicky,2020,"Casiguran, Aurora",193.2,17.916666666666664,Aurora,Region III
Vicky,2020,"Hinatuan, Surigao del Sur",182.2,17.0,Surigao del Sur,Region XIII
Vicky,2020,"Pag-asa Island, Kalayaan, Palawan",177.8,16.0,Palawan,Region IV-B
Vicky,2020,"Baybay City, Leyte",164.4,19.333333333333332,Leyte,Region VIII
Vicky,2020,"Surigao City, Surigao del Norte",163.6,17.0,Surigao del Norte,Region XIII
Vicky,2020,"Guiuan, Eastern Samar",164.4,23.0,Eastern Samar,Region VIII
Vicky,2020,"Maasin City, Southern Leyte",164.4,20.0,Southern Leyte,Region VIII
Vicky,2020,"Puerto Princesa City, Palawan",177.8,16.0,Palawan,Region IV-B
Vicky,2020,"Borongan City, Eastern Samar",164.4,15.0,Eastern Samar,Region VIII
