Typhoon,Year,Location,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s),Date,Province,Region
Neneng,2022,"Calayan, Cagayan",228.8,32.0,2022-10-13,Cagayan,Region II
Neneng,2022,"Sinait, Ilocos Sur",174.6,0.0,2022-10-13,Ilocos Sur,Region I
Neneng,2022,"Itbayat, Batanes",143.9,21.0,2022-10-13,Batanes,Region II
Neneng,2022,Baguio City,124.6,0.0,2022-10-13,Benguet,CAR
Neneng,2022,"Basco, Batanes",0.0,40.0,2022-10-13,Batanes,Region II
Neneng,2022,"Laoag City, Ilocos Norte",0.0,19.0,2022-10-13,Ilocos Norte,Region I
Paeng,2022,"Indang, Cavite",346.6,0.0,2022-10-26,Cavite,Region IV-A
Paeng,2022,"Baybay City, Leyte",271.1,0.0,2022-10-26,Leyte,Region VIII
Paeng,2022,"Tayabas City, Quezon",257.7,0.0,2022-10-26,Quezon,Region IV-A
Paeng,2022,"Los Baños, Laguna",253.0,0.0,2022-10-26,Laguna,Region IV-A
Paeng,2022,"Roxas City, Capiz",241.0,0.0,2022-10-26,Capiz,Region VI
Paeng,2022,"Clark International Airport, Pampanga",0.0,25.0,2022-10-26,Pampanga,Region III
Paeng,2022,"Ambulong, Tanauan City, Batangas",0.0,24.0,2022-10-26,Batangas,Region IV-A
Paeng,2022,"Tanay, Rizal",0.0,23.0,2022-10-26,Rizal,Region IV-A
Paeng,2022,"Daet, Camarines Norte",0.0,23.0,2022-10-26,Camarines Norte,Region V
Paeng,2022,"Sangley Pt., Cavite City, Cavite",0.0,22.0,2022-10-26,Cavite,Region IV-A
Ambo,2020,"Catarman (Synoptic), Northern Samar",306.0,35.0,2020-05-11,Northern Samar,Region VIII
Ambo,2020,"Casiguran, Aurora",282.7,0.0,2020-05-11,Aurora,Region III
Ambo,2020,"Juban, Sorsogon",260.8,22.0,2020-05-11,Sorsogon,Region V
Ambo,2020,"Alabat, Quezon",255.6,0.0,2020-05-11,Quezon,Region IV-A
Ambo,2020,"Catarman (Agromet), Northern Samar",125.6,0.0,2020-05-11,Northern Samar,Region VIII
Ambo,2020,"Infanta, Quezon",0.0,26.0,2020-05-11,Quezon,Region IV-A
Ambo,2020,"Masbate City, Masbate",0.0,21.0,2020-05-11,Masbate,Region V
Ambo,2020,"Tayabas, Quezon",0.0,20.0,2020-05-11,Quezon,Region IV-A
Ambo,2020,"Sangley Pt., Cavite City, Cavite",0.0,20.0,2020-05-11,Cavite,Region IV-A
Carina,2020,"Batac, Ilocos Norte",186.8,0.0,2020-07-11,Ilocos Norte,Region I
Carina,2020,"Laoag City, Ilocos Norte",183.8,10.0,2020-07-11,Ilocos Norte,Region I
Carina,2020,"Aparri, Cagayan",145.4,10.0,2020-07-11,Cagayan,Region II
Carina,2020,"PCA Bago-Oshiro, Davao City",95.8,0.0,2020-07-11,Davao del Sur,Region XI
Carina,2020,"Sangley Pt., Cavite City, Cavite",88.4,0.0,2020-07-11,Cavite,Region IV-A
Carina,2020,"Baler, Aurora",0.0,18.0,2020-07-11,Aurora,Region III
Carina,2020,"Itbayat, Batanes",0.0,14.0,2020-07-11,Batanes,Region II
Carina,2020,"Iba, Zambales",0.0,13.0,2020-07-11,Zambales,Region III
Carina,2020,"Subic Bay International Airport, Morong, Bataan",0.0,12.0,2020-07-11,Bataan,Region III
Enteng,2020,"Subic Bay International Airport, Morong, Bataan",173.0,0.0,2020-08-09,Bataan,Region III
Enteng,2020,"Cuyo, Palawan",115.4,0.0,2020-08-09,Palawan,Region IV-B
Enteng,2020,"San Jose, Occidental Mindoro",100.7,0.0,2020-08-09,Occidental Mindoro,Region IV-B
Enteng,2020,"Science Garden, Quezon City",89.2,0.0,2020-08-09,Metro Manila,NCR
Enteng,2020,"Malaybalay, Bukidnon",85.4,0.0,2020-08-09,Bukidnon,Region X
Ferdie,2020,"Subic Bay International Airport, Morong, Bataan",173.0,0.0,2020-08-09,Bataan,Region III
Ferdie,2020,"Clark International Airport, Mabalacat, Pampanga",70.4,0.0,2020-08-09,Pampanga,Region III
Ferdie,2020,"Iba, Zambales",65.0,0.0,2020-08-09,Zambales,Region III
Ferdie,2020,"Science Garden, Quezon City",50.8,0.0,2020-08-09,Metro Manila,NCR
Ferdie,2020,"Tarlac City, Tarlac",42.2,0.0,2020-08-09,Tarlac,Region III
Nika,2020,"Iba, Zambales",305.4,0.0,2020-10-11,Zambales,Region III
Nika,2020,"Subic Bay International Airport, Mabalacat, Pampanga",165.5,0.0,2020-10-11,Pampanga,Region III
Nika,2020,"Casiguran, Aurora",107.2,0.0,2020-10-11,Aurora,Region III
Nika,2020,"Camiling, Tarlac",75.2,0.0,2020-10-11,Tarlac,Region III
Nika,2020,"Mactan-Cebu International Airport, Lapu-Lapu City",49.8,0.0,2020-10-11,Cebu,Region VII
Pepito,2020,"Cuyo, Palawan",150.2,0.0,2020-10-19,Palawan,Region IV-B
Pepito,2020,"Pili, Camarines Sur",101.6,0.0,2020-10-19,Camarines Sur,Region V
Pepito,2020,"Alabat, Quezon",99.9,0.0,2020-10-19,Quezon,Region IV-A
Pepito,2020,"Baler, Aurora",94.0,20.0,2020-10-19,Aurora,Region III
Pepito,2020,"Roxas City, Capiz",89.0,0.0,2020-10-19,Capiz,Region VI
Pepito,2020,"Subic Bay International Airport, Morong, Bataan",0.0,23.0,2020-10-19,Bataan,Region III
Pepito,2020,"Iba, Zambales",0.0,22.0,2020-10-19,Zambales,Region III
Pepito,2020,"Ninoy Aquino International Airport, Pasay City",0.0,20.0,2020-10-19,Metro Manila,NCR
Pepito,2020,Baguio City,0.0,19.0,2020-10-19,Benguet,CAR
Pepito,2020,"Casiguran, Aurora",0.0,18.0,2020-10-19,Aurora,Region III
Quinta,2020,"Legazpi City, Albay",282.7,36.0,2020-10-23,Albay,Region V
Quinta,2020,"Juban, Sorsogon",197.8,0.0,2020-10-23,Sorsogon,Region V
Quinta,2020,"San Jose, Occidental Mindoro",175.4,30.0,2020-10-23,Occidental Mindoro,Region IV-B
Quinta,2020,"Infanta, Quezon",163.4,0.0,2020-10-23,Quezon,Region IV-A
Quinta,2020,"Calapan City, Oriental Mindoro",151.6,36.0,2020-10-23,Oriental Mindoro,Region IV-B
Quinta,2020,"Virac, Catanduanes",0.0,28.0,2020-10-23,Catanduanes,Region V
Quinta,2020,"Romblon, Romblon",0.0,27.0,2020-10-23,Romblon,Region IV-B
Quinta,2020,"Tayabas, Quezon",0.0,24.0,2020-10-23,Quezon,Region IV-A
Rolly,2020,"Virac, Catanduanes",238.0,38.0,2020-10-29,Catanduanes,Region V
Rolly,2020,"Guinobatan, Albay",191.2,0.0,2020-10-29,Albay,Region V
Rolly,2020,"Legazpi City, Albay",166.7,55.0,2020-10-29,Albay,Region V
Rolly,2020,"Juban, Sorsogon",149.4,0.0,2020-10-29,Sorsogon,Region V
Rolly,2020,"Indang, Cavite",148.0,0.0,2020-10-29,Cavite,Region IV-A
Rolly,2020,"Daet, Camarines Norte",0.0,35.0,2020-10-29,Camarines Norte,Region V
Rolly,2020,"Tanay, Rizal",0.0,28.0,2020-10-29,Rizal,Region IV-A
Rolly,2020,"Sangley Pt., Cavite City, Cavite",0.0,27.0,2020-10-29,Cavite,Region IV-A
Tonyo,2020,"Catarman (Synoptic), Northern Samar",155.4,14.0,2020-11-07,Northern Samar,Region VIII
Tonyo,2020,"Aparri, Cagayan",128.7,0.0,2020-11-07,Cagayan,Region II
Tonyo,2020,"Catarman (Agromet), Northern Samar",127.6,0.0,2020-11-07,Northern Samar,Region VIII
Tonyo,2020,"Casiguran, Aurora",123.0,0.0,2020-11-07,Aurora,Region III
Tonyo,2020,"Juban, Sorsogon",101.4,0.0,2020-11-07,Sorsogon,Region V
Tonyo,2020,"Legazpi City, Albay",0.0,18.0,2020-11-07,Albay,Region V
Tonyo,2020,"Subic Bay International Airport, Morong, Bataan",0.0,15.0,2020-11-07,Bataan,Region III
Tonyo,2020,"Calapan City, Oriental Mindoro",0.0,15.0,2020-11-07,Oriental Mindoro,Region IV-B
Tonyo,2020,"Tanay, Rizal",0.0,14.0,2020-11-07,Rizal,Region IV-A
Tonyo,2020,"Sangley Pt. Cavite City, Cavite",0.0,11.0,2020-11-07,Cavite,Region IV-A
Tonyo,2020,"San Jose, Occidental Mindoro",0.0,11.0,2020-11-07,Occidental Mindoro,Region IV-B
Tonyo,2020,"Masbate City, Masbate",0.0,11.0,2020-11-07,Masbate,Region V
Tonyo,2020,"Romblon, Romblon",0.0,10.0,2020-11-07,Romblon,Region IV-B
Tonyo,2020,"Guiuan, Eastern Samar",0.0,10.0,2020-11-07,Eastern Samar,Region VIII
Ulysses,2020,"Tanay, Rizal",356.2,28.0,2020-11-08,Rizal,Region IV-A
Ulysses,2020,"Daet, Camarines Norte",270.6,42.0,2020-11-08,Camarines Norte,Region V
Ulysses,2020,"Infanta, Quezon",255.1,36.0,2020-11-08,Quezon,Region IV-A
Ulysses,2020,"Casiguran, Aurora",238.0,0.0,2020-11-08,Aurora,Region III
Ulysses,2020,"Aparri, Cagayan",209.0,0.0,2020-11-08,Cagayan,Region II
Ulysses,2020,"Baler, Aurora",0.0,34.0,2020-11-08,Aurora,Region III
Ulysses,2020,"Virac, Catanduanes",0.0,27.0,2020-11-08,Catanduanes,Region V
Vicky,2020,"Casiguran, Aurora",193.2,0.0,2020-12-18,Aurora,Region III
Vicky,2020,"Hinatuan, Surigao del Sur",182.2,17.0,2020-12-18,Surigao del Sur,Region XIII
Vicky,2020,"Pag-asa Island, Kalayaan, Palawan",177.8,0.0,2020-12-18,Palawan,Region IV-B
Vicky,2020,"Baybay City, Leyte",164.4,0.0,2020-12-18,Leyte,Region VIII
Vicky,2020,"Surigao City, Surigao del Norte",163.6,0.0,2020-12-18,Surigao del Norte,Region XIII
Vicky,2020,"Guiuan, Eastern Samar",0.0,23.0,2020-12-18,Eastern Samar,Region VIII
Vicky,2020,"Maasin City, Southern Leyte",0.0,20.0,2020-12-18,Southern Leyte,Region VIII
Vicky,2020,"Puerto Princesa City, Palawan",0.0,16.0,2020-12-18,Palawan,Region IV-B
Vicky,2020,"Borongan City, Eastern Samar",0.0,15.0,2020-12-18,Eastern Samar,Region VIII
