Typhoon,Year,Location,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s)
Amang,2023,"Pili, Camarines Sur",212.6,0
Amang,2023,"Legazpi City, Albay",140.0,13
Amang,2023,"PCA Bago-Oshiro, Davao City",102.3,0
Amang,2023,"Juban, Sorsogon",0,10
Amang,2023,"Daet, Camarines Norte",0,10
Amang,2023,"Guiuan, Eastern Samar",0,10
Amang,2023,"Virac, Catanduanes",0,8
Betty,2023,"La Trinidad, Benguet",220.5,0
Betty,2023,"Baguio City, Benguet",184.2,0
Betty,2023,"Maasin City, Southern Leyte",107.6,0
Betty,2023,"Basco, Batanes",0,34
Betty,2023,"Itbayat, Batanes",0,24
Betty,2023,"Calayan, Cagayan",0,22
Dodong,2023,"Iba, Zambales",222.9,0
Dodong,2023,"Abucay, Bataan",132.3,0
Dodong,2023,"Subic, Zambales",124.5,0
Dodong,2023,"Basco, Batanes",0,18
Dodong,2023,"Baguio City, Benguet",0,16
Dodong,2023,"Calayan, Cagayan",0,13
Egay,2023,"Laoag City, Ilocos Norte",414.0,0
Egay,2023,"Sinait, Ilocos Sur",391.0,0
Egay,2023,"Baguio City, Benguet",347.4,0
Egay,2023,"Calayan, Cagayan",0,52
Egay,2023,"Basco, Batanes",0,41
Egay,2023,"Aparri, Cagayan",0,35
Falcon,2023,"Subic, Zambales",278.5,0
Falcon,2023,"Iba, Zambales",273.1,0
Falcon,2023,"Abucay, Bataan",203.4,0
Goring,2023,"Laoag City, Ilocos Norte",254.2,0
Goring,2023,"Coron, Palawan",223.7,0
Goring,2023,"Sinait, Ilocos Sur",215.6,0
Goring,2023,"Basco, Batanes",0,45
Goring,2023,"Calayan, Cagayan",0,34
Goring,2023,"Itbayat, Batanes",0,26
Hanna,2023,"Science Garden, Quezon City",152.5,0
Hanna,2023,"Abucay, Bataan",139.0,0
Hanna,2023,"Dagupan City, Pangasinan",130.7,0
Hanna,2023,"Basco, Batanes",0,22
Hanna,2023,"Calayan, Cagayan",0,17
Hanna,2023,"Itbayat, Batanes",0,15
Jenny,2023,"Itbayat, Batanes",273.0,24
Jenny,2023,"Subic Bay International Airport, Subic Bay",150.2,0
Jenny,2023,"Basco, Batanes",134.0,30
Jenny,2023,"Calayan, Cagayan",0,24
Kabayan,2023,"Surigao City, Surigao Del Norte",184.0,21
Kabayan,2023,"Maasin City, Southern Leyte",98.8,0
Kabayan,2023,"Casiguran, Aurora",97.0,0
Kabayan,2023,"Guiuan, Eastern Samar",0,21
Kabayan,2023,"Tacloban City, Leyte",0,16
Kabayan,2023,"Mactan-Cebu International Airport, Lapu-Lapu City",0,15
