Typhoon,Year,Location,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s)
Aghon,2024,"Mulanay, Quezon",229.4,15
Aghon,2024,"Tayabas, Quezon",226.5,22
Aghon,2024,"Sinait, Ilocos Sur",176.5,0
Aghon,2024,"Alabat, Quezon",152.2,0
Aghon,2024,"Infanta, Quezon",147.3,14
Aghon,2024,"Guiuan, Eastern Samar",0,20
Aghon,2024,"Baler, Aurora",0,16
Aghon,2024,"Surigao City, Surigao del Sur",0,15
Aghon,2024,"Tacloban City, Leyte",0,14
Aghon,2024,"Borongan City, Eastern Samar",0,14
Carina,2024,"Calayan, Cagayan",342.8,26
Carina,2024,"Science Garden, Quezon City",323.9,0
Carina,2024,"Baguio City",294.0,0
Carina,2024,"Cubi Pt., Subic",282.7,0
Carina,2024,"Tanay, Rizal",262.0,0
Carina,2024,"Basco, Batanes",0,28
Carina,2024,"Itbayat, Batanes",0,20
Carina,2024,"Aparri, Cagayan",0,15
Enteng,2024,"Daet, Camarines Norte",258.9,0
Enteng,2024,"Iba, Zambales",256.6,0
Enteng,2024,"Muñoz City, Nueva Ecija",217.8,0
Enteng,2024,"Infanta, Quezon",216.0,0
Enteng,2024,"Alabat, Quezon",210.5,0
Enteng,2024,"Casiguran, Aurora",0,22
Enteng,2024,"Baler, Aurora",0,19
Enteng,2024,"Ninoy Aquino International Airport, Parañaque City",0,18
Enteng,2024,"Virac, Catanduanes",0,18
Enteng,2024,"Mulanay, Quezon",0,15
Enteng,2024,"Echague, Isabela",0,15
Enteng,2024,"Tuguegarao City, Cagayan",0,14
Enteng,2024,"Science Garden, Quezon City",0,14
Enteng,2024,"Guiuan, Eastern Samar",0,14
Ferdie,2024,"Dumangas, Iloilo",240.0,0
Ferdie,2024,"San Jose, Occidental Mindoro",178.6,0
Ferdie,2024,"La Carlota City, Negros Occidental",158.2,0
Ferdie,2024,"Tayabas, Quezon",148.1,0
Ferdie,2024,"Pili, Camarines Sur",127.2,0
Gener,2024,"Dumangas, Iloilo",156.0,0
Gener,2024,"La Carlota City, Negros Oriental",134.9,0
Gener,2024,"San Jose, Occidental Mindoro",108.0,0
Gener,2024,"Dagupan City, Pangasinan",99.1,12
Gener,2024,"Calayan, Cagayan",89.5,17
Gener,2024,"Baler, Aurora",0,13
Gener,2024,"Iba, Zambales",0,10
Gener,2024,"Infanta, Quezon",0,8
Helen,2024,"Dumangas, Iloilo",156.0,0
Helen,2024,"Dagupan City, Pangasinan",99.1,0
Helen,2024,"Coron, Palawan",86.1,0
Helen,2024,"Abucay, Bataan",84.7,0
Helen,2024,"Tagum City, Davao del Norte",70.6,0
Igme,2024,"Iba, Zambales",174.0,0
Igme,2024,"Tayabas, Quezon",97.1,0
Igme,2024,"Abucay, Bataan",78.9,0
Igme,2024,"Cubi Pt., Zambales",78.5,0
Igme,2024,"Aparri, Cagayan",78.0,0
Julian,2024,"Basco, Batanes",728.0,66
Julian,2024,"Laoag City, Ilocos Norte",481.6,18
Julian,2024,"Calayan, Cagayan",201.5,42
Julian,2024,"Batac, Ilocos Norte",193.4,0
Julian,2024,"Sinait, Ilocos Sur",162.4,0
Julian,2024,"Itbayat, Batanes",0,50
Julian,2024,"Aparri, Cagayan",0,16
Julian,2024,"Baler, Aurora",0,16
Kristine,2024,"Daet, Camarines Norte",528.5,0
Kristine,2024,"Legazpi City, Albay",431.0,0
Kristine,2024,"Juban, Sorsogon",406.0,0
Kristine,2024,"Ambulong, Tanauan City, Batangas",391.3,25
Kristine,2024,"Mulanay, Quezon",384.6,0
Kristine,2024,"Calayan, Cagayan",0,28
Kristine,2024,"Itbayat, Batanes",0,26
Kristine,2024,"Cubi Pt., Subic Bay",0,26
Kristine,2024,"Aparri, Cagayan",0,25
Kristine,2024,"Abucay, Bataan",0,24
Kristine,2024,"Baguio City",0,22
Marce,2024,"Calayan, Cagayan",242.6,33
Marce,2024,"Aparri, Cagayan",131.0,42
Marce,2024,"Laoag City, Ilocos Norte",85.9,30
Marce,2024,"Sinait, Ilocos Sur",84.4,0
Marce,2024,"Tuguegarao City, Cagayan",81.5,16
Marce,2024,"Itbayat, Batanes",0,26
Ofel,2024,"Virac, Catanduanes",225.8,0
Ofel,2024,"Basco, Batanes",149.5,0
Ofel,2024,"Calayan, Cagayan",142.7,38
Ofel,2024,"Daet, Camarines Norte",140.0,0
Ofel,2024,"Echague, Isabela",121.3,0
Ofel,2024,"Aparri, Cagayan",0,25
Ofel,2024,"Tuguegarao City, Cagayan",0,19
Ofel,2024,"Itbayat, Batanes",0,18
Ofel,2024,"Baler, Aurora",0,15
Pepito,2024,"Casiguran, Aurora",255.0,40
Pepito,2024,"Virac, Catanduanes",225.8,39
Pepito,2024,"La Trinidad, Benguet",200.5,0
Pepito,2024,"Baguio City",192.0,0
Pepito,2024,"Muñoz City, Nueva Ecija",174.4,0
Pepito,2024,"Baler, Aurora",0,58
Pepito,2024,"Bayombong, Nueva Vizcaya",0,26
Pepito,2024,"Legazpi City, Albay",0,25
Romina,2024,"Catarman, Northern Samar",327.2,0
Romina,2024,"Puerto Princesa City, Palawan",220.6,0
Romina,2024,"Borongan City, Eastern Samar",136.8,0
Romina,2024,"Catbalogan City, Samar",103.6,0
Romina,2024,"Juban, Sorsogon",87.0,0
