Typhoon,Year,Location,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s)
Agaton,2022,"Baybay City, Leyte",536.2,0
Agaton,2022,"Mambusao, Capiz",338.0,0
Agaton,2022,"Guiuan, Eastern Samar",207.8,30
Agaton,2022,"Roxas City, Capiz",172.0,0
Agaton,2022,"Borongan City, Eastern Samar",163.0,15
Agaton,2022,"Surigao City, Surigao del Norte",0,21
Agaton,2022,"Maasin City, Southern Leyte",0,18
Agaton,2022,"Tacloban City, Leyte",0,15
Florita,2022,"Batac City, Ilocos Norte",201.8,0
Florita,2022,"Baguio City",169.8,0
Florita,2022,"Laoag City, Ilocos Norte",162.5,0
Florita,2022,"Sinait, Ilocos Sur",147.4,0
Florita,2022,"Tuguegarao City, Cagayan",146.0,18
Florita,2022,"Basco, Batanes",0,27
Florita,2022,"Calayan, Cagayan",0,20
Florita,2022,"Aparri, Cagayan",0,20
Florita,2022,"Baler, Aurora",0,20
Florita,2022,"Itbayat, Batanes",0,18
Henry,2022,"Sinait, Ilocos Sur",205.2,0
Henry,2022,"Iba, Zambales",181.2,0
Henry,2022,"Cubi Pt., Subic Bay",141.8,0
Henry,2022,"Baguio City",120.0,0
Henry,2022,"La Trinidad, Benguet",114.0,0
Henry,2022,"Basco, Batanes",0,28
Henry,2022,"Calayan, Cagayan",0,22
Henry,2022,"Itbayat, Batanes",0,16
Karding,2022,"Cubi Pt., Subic Bay",255.8,21
Karding,2022,"Tanay, Rizal",179.3,21
Karding,2022,"Iba, Zambales",136.2,23
Karding,2022,"Clark International Airport, Pampanga",125.2,23
Karding,2022,"Ambulong, Tanauan City, Batangas",123.2,0
Karding,2022,"Baler, Aurora",0,25
Karding,2022,"Ninoy Aquino International Airport, Pasay City",0,21
Karding,2022,"Port Area, Manila",0,21
Neneng,2022,"Aparri, Cagayan",323.8,18
Neneng,2022,"Calayan, Cagayan",228.8,32
Neneng,2022,"Sinait, Ilocos Sur",174.6,0
Neneng,2022,"Itbayat, Batanes",143.9,21
Neneng,2022,"Baguio City",124.6,0
Neneng,2022,"Basco, Batanes",0,40
Neneng,2022,"Laoag City, Ilocos Norte",0,19
Paeng,2022,"Indang, Cavite",346.6,0
Paeng,2022,"Baybay City, Leyte",271.1,0
Paeng,2022,"Tayabas City, Quezon",257.7,0
Paeng,2022,"Los Baños, Laguna",253.0,0
Paeng,2022,"Roxas City, Capiz",241.0,0
Paeng,2022,"Clark International Airport, Pampanga",0,25
Paeng,2022,"Ambulong, Tanauan City, Batangas",0,24
Paeng,2022,"Tanay, Rizal",0,23
Paeng,2022,"Daet, Camarines Norte",0,23
Paeng,2022,"Sangley Pt., Cavite City, Cavite",0,22
