Typhoon,Year,Location,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s)
Ambo,2020,"Catarman (Synoptic), Northern Samar",306.0,35
Ambo,2020,"Casiguran, Aurora",282.7,0
Ambo,2020,"Juban, Sorsogon",260.8,22
Ambo,2020,"Alabat, Quezon",255.6,0
Ambo,2020,"Catarman (Agromet), Northern Samar",125.6,0
Ambo,2020,"Infanta, Quezon",0,26
Ambo,2020,"Masbate City, Masbate",0,21
Ambo,2020,"Tayabas, Quezon",0,20
Ambo,2020,"Sangley Pt., Cavite City, Cavite",0,20
Carina,2020,"Batac, Ilocos Norte",186.8,0
Carina,2020,"Laoag City, Ilocos Norte",183.8,10
Carina,2020,"Aparri, Cagayan",145.4,10
Carina,2020,"PCA Bago-Oshiro, Davao City",95.8,0
Carina,2020,"Sangley Pt., Cavite City, Cavite",88.4,0
Carina,2020,"Baler, Aurora",0,18
Carina,2020,"Itbayat, Batanes",0,14
Carina,2020,"Iba, Zambales",0,13
Carina,2020,"Subic Bay International Airport, Morong, Bataan",0,12
Enteng,2020,"Subic Bay International Airport, Morong, Bataan",173.0,0
Enteng,2020,"Cuyo, Palawan",115.4,0
Enteng,2020,"San Jose, Occidental Mindoro",100.7,0
Enteng,2020,"Science Garden, Quezon City",89.2,0
Enteng,2020,"Malaybalay, Bukidnon",85.4,0
Ferdie,2020,"Subic Bay International Airport, Morong, Bataan",173.0,0
Ferdie,2020,"Clark International Airport, Mabalacat, Pampanga",70.4,0
Ferdie,2020,"Iba, Zambales",65.0,0
Ferdie,2020,"Science Garden, Quezon City",50.8,0
Ferdie,2020,"Tarlac City, Tarlac",42.2,0
Nika,2020,"Iba, Zambales",305.4,0
Nika,2020,"Subic Bay International Airport, Mabalacat, Pampanga",165.5,0
Nika,2020,"Casiguran, Aurora",107.2,0
Nika,2020,"Camiling, Tarlac",75.2,0
Nika,2020,"Mactan-Cebu International Airport, Lapu-Lapu City",49.8,0
Pepito,2020,"Cuyo, Palawan",150.2,0
Pepito,2020,"Pili, Camarines Sur",101.6,0
Pepito,2020,"Alabat, Quezon",99.9,0
Pepito,2020,"Baler, Aurora",94.0,20
Pepito,2020,"Roxas City, Capiz",89.0,0
Pepito,2020,"Subic Bay International Airport, Morong, Bataan",0,23
Pepito,2020,"Iba, Zambales",0,22
Pepito,2020,"Ninoy Aquino International Airport, Pasay City",0,20
Pepito,2020,"Baguio City",0,19
Pepito,2020,"Casiguran, Aurora",0,18
Quinta,2020,"Legazpi City, Albay",282.7,36
Quinta,2020,"Juban, Sorsogon",197.8,0
Quinta,2020,"San Jose, Occidental Mindoro",175.4,30
Quinta,2020,"Infanta, Quezon",163.4,0
Quinta,2020,"Calapan City, Oriental Mindoro",151.6,36
Quinta,2020,"Virac, Catanduanes",0,28
Quinta,2020,"Romblon, Romblon",0,27
Quinta,2020,"Tayabas, Quezon",0,24
Rolly,2020,"Virac, Catanduanes",238.0,38
Rolly,2020,"Guinobatan, Albay",191.2,0
Rolly,2020,"Legazpi City, Albay",166.7,55
Rolly,2020,"Juban, Sorsogon",149.4,0
Rolly,2020,"Indang, Cavite",148.0,0
Rolly,2020,"Daet, Camarines Norte",0,35
Rolly,2020,"Tanay, Rizal",0,28
Rolly,2020,"Sangley Pt., Cavite City, Cavite",0,27
Tonyo,2020,"Catarman (Synoptic), Northern Samar",155.4,14
Tonyo,2020,"Aparri, Cagayan",128.7,0
Tonyo,2020,"Catarman (Agromet), Northern Samar",127.6,0
Tonyo,2020,"Casiguran, Aurora",123.0,0
Tonyo,2020,"Juban, Sorsogon",101.4,0
Tonyo,2020,"Legazpi City, Albay",0,18
Tonyo,2020,"Subic Bay International Airport, Morong, Bataan",0,15
Tonyo,2020,"Calapan City, Oriental Mindoro",0,15
Tonyo,2020,"Tanay, Rizal",0,14
Tonyo,2020,"Sangley Pt. Cavite City, Cavite",0,11
Tonyo,2020,"San Jose, Occidental Mindoro",0,11
Tonyo,2020,"Masbate City, Masbate",0,11
Tonyo,2020,"Romblon, Romblon",0,10
Tonyo,2020,"Guiuan, Eastern Samar",0,10
Ulysses,2020,"Tanay, Rizal",356.2,28
Ulysses,2020,"Daet, Camarines Norte",270.6,42
Ulysses,2020,"Infanta, Quezon",255.1,36
Ulysses,2020,"Casiguran, Aurora",238.0,0
Ulysses,2020,"Aparri, Cagayan",209.0,0
Ulysses,2020,"Baler, Aurora",0,34
Ulysses,2020,"Virac, Catanduanes",0,27
Vicky,2020,"Casiguran, Aurora",193.2,0
Vicky,2020,"Hinatuan, Surigao del Sur",182.2,17
Vicky,2020,"Pag-asa Island, Kalayaan, Palawan",177.8,0
Vicky,2020,"Baybay City, Leyte",164.4,0
Vicky,2020,"Surigao City, Surigao del Norte",163.6,0
Vicky,2020,"Guiuan, Eastern Samar",0,23
Vicky,2020,"Maasin City, Southern Leyte",0,20
Vicky,2020,"Puerto Princesa City, Palawan",0,16
Vicky,2020,"Borongan City, Eastern Samar",0,15
