Typhoon,Year,Location,Max 24-hour Rainfall (mm),Peak Gust (10 mins sustained) (m/s)
Bising,2021,"Catarman, Northern Samar",265.5,0
Bising,2021,"Virac, Catanduanes",252.2,30
Bising,2021,"Pili, Camarines Sur",141.6,0
Bising,2021,"Catbalogan City, Samar",124.2,0
Bising,2021,"Guiuan, Eastern Samar",102.9,26
Bising,2021,"Tacloban City, Leyte",0,22
Bising,2021,"Basco, Batanes",0,21
Bising,2021,"Borongan City, Eastern Samar",0,20
Dante,2021,"Maasin City, Southern Leyte",395.4,0
Dante,2021,"San Jose, Occidental Mindoro",137.3,19
Dante,2021,"El Salvador City, Misamis Oriental",121.8,0
Dante,2021,"Hinatuan, Surigao Del Sur",104.0,0
Dante,2021,"Abucay, Bataan",103.0,20
Dante,2021,"Romblon City, Romblon",0,22
Dante,2021,"Guiuan, Eastern Samar",0,20
Dante,2021,"Basco, Batanes",0,17
Dante,2021,"Catarman, Northern Samar",0,17
Dante,2021,"Calapan City, Oriental Mindoro",0,16
Dante,2021,"Itbayat, Batanes",0,16
Dante,2021,"Mactan-Cebu International Airport, Lapu-Lapu City",0,16
Dante,2021,"Sangley Pt., Cavite City, Cavite",0,16
Emong,2021,"Iba, Zambales",166.8,0
Emong,2021,"Alabat, Quezon",154.2,0
Emong,2021,"Baler, Aurora",122.0,10
Emong,2021,"Virac, Catanduanes",85.8,0
Emong,2021,"Tanay, Rizal",81.3,0
Emong,2021,"Basco, Batanes",0,20
Emong,2021,"Baguio City",0,10
Emong,2021,"Calayan, Cagayan",0,10
Fabian,2021,"Mt. Cabuyao, Tuba, Benguet",246.8,0
Fabian,2021,"Abucay, Bataan",218.1,0
Fabian,2021,"Baguio City",214.6,20
Fabian,2021,"Iba, Zambales",213.6,0
Fabian,2021,"Port Area, Manila",206.9,0
Fabian,2021,"Baler, Aurora",0,26
Fabian,2021,"Basco, Batanes",0,20
Fabian,2021,"Laoag City, Ilocos Norte",0,13
Fabian,2021,"Aparri, Cagayan",0,12
Fabian,2021,"Itbayat, Batanes",0,12
Fabian,2021,"Casiguran, Aurora",0,10
Jolina,2021,"Mt. Cabuyao, Tuba, Benguet",187.8,0
Jolina,2021,"Tayabas City, Quezon",166.8,0
Jolina,2021,"Catbalogan City, Samar",152.1,22
Jolina,2021,"Guiuan, Eastern Samar",150.1,38
Jolina,2021,"Tacloban City, Leyte",141.2,0
Jolina,2021,"Ambulong, Tanauan City, Batangas",0,24
Jolina,2021,"Tanay, Rizal",0,23
Jolina,2021,"Borongan City, Eastern Samar",0,20
Jolina,2021,"Masbate City, Masbate",0,20
Kiko,2021,"Itbayat, Batanes",510.0,60
Kiko,2021,"Basco, Batanes",420.7,86
Kiko,2021,"Mt. Cabuyao, Tuba, Benguet",187.8,0
Kiko,2021,"Tayabas City, Quezon",166.8,0
Kiko,2021,"Iba, Zambales",137.2,0
Kiko,2021,"Calayan, Cagayan",0,30
Kiko,2021,"Aparri, Cagayan",0,15
Kiko,2021,"Baler, Aurora",0,13
Kiko,2021,"Laoag City, Ilocos Norte",0,13
Maring,2021,"Baguio City",625.3,0
Maring,2021,"Mt. Cabuyao, Tuba, Benguet",500.8,0
Maring,2021,"Dagupan City, Pangasinan",241.3,22
Maring,2021,"San Jose, Occidental Mindoro",140.8,0
Maring,2021,"Aparri, Cagayan",138.4,24
Maring,2021,"Basco, Batanes",0,34
Maring,2021,"Calayan, Cagayan",0,28
Maring,2021,"Itbayat, Batanes",0,25
Odette,2021,"Surigao City, Surigao del Norte",267.6,58
Odette,2021,"Dauis, Bohol",230.6,31
Odette,2021,"Malaybalay City, Bukidnon",165.6,0
Odette,2021,"Puerto Princesa City, Palawan",156.5,0
Odette,2021,"Virac, Catanduanes",135.7,0
Odette,2021,"Maasin City, Southern Leyte",0,55
Odette,2021,"Mactan-Cebu International Airport, Lapu-Lapu City",0,45
Odette,2021,"Guiuan, Eastern Samar",0,38
